,bzip2_amd64_darwin_clang_28dc2ee7.json,bzip2_amd64_darwin_gcc_885ac7de.json,bzip2_amd64_darwin_go_cd368ba0.json,bzip2_amd64_darwin_rs-pure_672b9aab.json,bzip2_amd64_darwin_rs-sys_089b3292.json,bzip2_amd64_darwin_tgo_e9ce53c1.json,bzip2_amd64_linux_clang_2430eb37.json,bzip2_amd64_linux_gcc_4399a2b9.json,bzip2_amd64_linux_go_62958439.json,bzip2_amd64_linux_rs-pure_227bfcee.json,bzip2_amd64_linux_rs-sys_90d77d68.json,bzip2_amd64_linux_tgo_339261c9.json,bzip2_amd64_windows_clang.exe_ac39e1ca.json,bzip2_amd64_windows_gcc.exe_6c63c1e7.json,bzip2_amd64_windows_go.exe_475848bc.json,bzip2_amd64_windows_msvc.exe_bf6ed930.json,bzip2_amd64_windows_rs-pure.exe_0f1bb339.json,bzip2_amd64_windows_rs-sys.exe_e8875bd0.json,bzip2_arm64_darwin_clang_48b110af.json,bzip2_arm64_darwin_gcc_87a53fd3.json,bzip2_arm64_darwin_go_f857338e.json,bzip2_arm64_darwin_rs-pure_4270a245.json,bzip2_arm64_darwin_rs-sys_26360764.json,bzip2_arm64_darwin_tgo_91b83a84.json,bzip2_arm64_linux_clang_1ab795bb.json,bzip2_arm64_linux_gcc_96b9e9ad.json,bzip2_arm64_linux_go_8a45dfb5.json,bzip2_arm64_linux_rs-pure_434c6cad.json,bzip2_arm64_linux_rs-sys_0cdcf5cb.json,bzip2_arm64_linux_tgo_5485493c.json,bzip2_arm64_windows_clang.exe_bbfd25d7.json,bzip2_arm64_windows_go.exe_f32aecb8.json,bzip2_arm64_windows_msvc.exe_2fc063be.json,bzip2_arm64_windows_rs-pure.exe_70f3ba79.json,bzip2_arm64_windows_rs-sys.exe_223cea53.json
bzip2_amd64_linux_rs-sys_90d77d68.json,,,,,,,,,,,1.00,0.31,0.48,0.27,0.48,0.26,0.59,0.60,0.25,0.25,0.46,0.68,0.67,0.31,0.26,0.25,0.50,0.67,0.67,0.32,0.52,0.42,0.34,0.56,0.57
bzip2_amd64_linux_tgo_339261c9.json,,,,,,,,,,,,1.00,0.36,0.31,0.33,0.32,0.35,0.35,0.27,0.27,0.31,0.32,0.33,0.62,0.28,0.29,0.33,0.33,0.33,0.72,0.35,0.34,0.50,0.35,0.35
bzip2_amd64_windows_clang.exe_ac39e1ca.json,,,,,,,,,,,,,1.00,0.28,0.51,0.32,0.50,0.50,0.28,0.27,0.51,0.49,0.50,0.35,0.27,0.27,0.53,0.49,0.50,0.38,0.73,0.52,0.48,0.50,0.50
bzip2_amd64_windows_gcc.exe_6c63c1e7.json,,,,,,,,,,,,,,1.00,0.26,0.55,0.27,0.27,0.46,0.45,0.25,0.26,0.26,0.33,0.52,0.60,0.26,0.27,0.27,0.31,0.28,0.26,0.32,0.27,0.27
bzip2_amd64_windows_go.exe_475848bc.json,,,,,,,,,,,,,,,1.00,0.26,0.45,0.45,0.24,0.24,0.63,0.48,0.48,0.31,0.24,0.25,0.66,0.48,0.49,0.34,0.56,0.55,0.34,0.46,0.47
bzip2_amd64_windows_msvc.exe_bf6ed930.json,,,,,,,,,,,,,,,,1.00,0.30,0.31,0.43,0.42,0.25,0.28,0.28,0.35,0.45,0.47,0.26,0.28,0.28,0.33,0.31,0.27,0.37,0.30,0.30
bzip2_amd64_windows_rs-pure.exe_0f1bb339.json,,,,,,,,,,,,,,,,,1.00,0.99,0.26,0.26,0.44,0.63,0.62,0.35,0.25,0.25,0.49,0.63,0.62,0.36,0.52,0.43,0.39,0.82,0.82
bzip2_amd64_windows_rs-sys.exe_e8875bd0.json,,,,,,,,,,,,,,,,,,1.00,0.26,0.26,0.44,0.63,0.63,0.35,0.25,0.25,0.49,0.63,0.63,0.36,0.52,0.44,0.39,0.83,0.82
bzip2_arm64_darwin_clang_48b110af.json,,,,,,,,,,,,,,,,,,,1.00,0.91,0.24,0.25,0.25,0.29,0.75,0.56,0.25,0.25,0.26,0.28,0.28,0.25,0.29,0.26,0.26
bzip2_arm64_darwin_gcc_87a53fd3.json,,,,,,,,,,,,,,,,,,,,1.00,0.24,0.25,0.25,0.28,0.72,0.54,0.25,0.25,0.25,0.28,0.27,0.25,0.29,0.26,0.26
