,left,right,cosine,dice,euclidean,jaccard,lcs,levenshtein,simpson,weighted-jaccard
28,birthmarks/bzip2_amd64_darwin_clang_bb422561.json,birthmarks/bzip2_arm64_linux_tgo_d72531be.json,0.04818595,0.045367224,0.039516776,0.040644771,0.029898662,0.023605577,0.051937345,0.031252409
29,birthmarks/bzip2_amd64_darwin_clang_bb422561.json,birthmarks/bzip2_arm64_windows_clang.exe_797eefb0.json,0.022968457,0.022793473,0.019185938,0.021619622,0.015959343,0.012595537,0.02425876,0.016612705
30,birthmarks/bzip2_amd64_darwin_clang_bb422561.json,birthmarks/bzip2_arm64_windows_gcc.exe_4b1549dd.json,0.544927253,0.520834959,0.429763792,0.471652674,0.343759596,0.268889069,0.588785047,0.362853411
31,birthmarks/bzip2_amd64_darwin_clang_bb422561.json,birthmarks/bzip2_arm64_windows_go.exe_ed2de88c.json,0.033605722,0.031377264,0.027897108,0.027965653,0.020803067,0.016252861,0.036227717,0.022473401
32,birthmarks/bzip2_amd64_darwin_clang_bb422561.json,birthmarks/bzip2_arm64_windows_msvc.exe_22595510.json,0.436686461,0.412264516,0.344038466,0.362851002,0.270025243,0.202463684,0.484615385,0.27497547
33,birthmarks/bzip2_amd64_darwin_clang_bb422561.json,birthmarks/bzip2_arm64_windows_rs-pure.exe_1f25dd7f.json,0.002937694,0.002807518,0.002471607,0.00253979,0.001924721,0.001499574,0.003162492,0.001994953
34,birthmarks/bzip2_amd64_darwin_clang_bb422561.json,birthmarks/bzip2_arm64_windows_rs-sys.exe_d6a1dc5d.json,0.003004623,0.002878674,0.002534889,0.002609313,0.001980532,0.00153959,0.003234086,0.002052594
35,birthmarks/bzip2_amd64_darwin_gcc_61bd47af.json,birthmarks/bzip2_amd64_darwin_go_e1d42f63.json,0.024379483,0.02332963,0.020679835,0.021165623,0.015175054,0.011593567,0.026182102,0.016798734
36,birthmarks/bzip2_amd64_darwin_gcc_61bd47af.json,birthmarks/bzip2_amd64_darwin_rs-pure_b656f970.json,0.018287734,0.017473526,0.015521513,0.015838621,0.011172161,0.008522043,0.019630823,0.012525769
37,birthmarks/bzip2_amd64_darwin_gcc_61bd47af.json,birthmarks/bzip2_amd64_darwin_rs-sys_26d20788.json,0.018556794,0.01775747,0.015740531,0.016137872,0.011364525,0.008629305,0.019887207,0.012720778
38,birthmarks/bzip2_amd64_darwin_gcc_61bd47af.json,birthmarks/bzip2_amd64_darwin_tgo_6170c260.json,0.107272582,0.101821648,0.088266834,0.091173151,0.063318784,0.047997803,0.116319444,0.069615843
39,birthmarks/bzip2_amd64_darwin_gcc_61bd47af.json,birthmarks/bzip2_amd64_linux_clang_ad366643.json,0.849443022,0.825384074,0.655708177,0.745254081,0.540191341,0.429968498,0.985294118,0.549187558
40,birthmarks/bzip2_amd64_darwin_gcc_61bd47af.json,birthmarks/bzip2_amd64_linux_gcc_ccc4cf10.json,0.820714128,0.82572851,0.728606186,0.778977814,0.697122496,0.604595059,0.893333333,0.684756464
41,birthmarks/bzip2_amd64_darwin_gcc_61bd47af.json,birthmarks/bzip2_amd64_linux_go_cf343d1a.json,0.024089451,0.02308194,0.020394767,0.020837124,0.015019708,0.011545734,0.026049767,0.016461872
42,birthmarks/bzip2_amd64_darwin_gcc_61bd47af.json,birthmarks/bzip2_amd64_linux_rs-pure_f4511389.json,0.018171185,0.017231696,0.015351653,0.015389981,0.011169067,0.008518597,0.019781518,0.012210306
43,birthmarks/bzip2_amd64_darwin_gcc_61bd47af.json,birthmarks/bzip2_amd64_linux_rs-sys_9751c6e7.json,0.018461526,0.01751092,0.015594689,0.015655267,0.011356159,0.00869415,0.020077914,0.012409106
44,birthmarks/bzip2_amd64_darwin_gcc_61bd47af.json,birthmarks/bzip2_amd64_linux_tgo_cc1b5a2d.json,0.087117465,0.083099114,0.072230199,0.073879648,0.052288804,0.039546295,0.095577746,0.056674991
45,birthmarks/bzip2_amd64_darwin_gcc_61bd47af.json,birthmarks/bzip2_amd64_windows_clang.exe_fb68290e.json,0.030264414,0.029463782,0.025725403,0.02745888,0.019402643,0.015070879,0.031935176,0.02158391
46,birthmarks/bzip2_amd64_darwin_gcc_61bd47af.json,birthmarks/bzip2_amd64_windows_gcc.exe_2a5000a8.json,0.564969187,0.568131215,0.491690708,0.540791109,0.468789318,0.405854389,0.603603604,0.452955354
47,birthmarks/bzip2_amd64_darwin_gcc_61bd47af.json,birthmarks/bzip2_amd64_windows_go.exe_8d915129.json,0.026596152,0.025495591,0.022428493,0.023020933,0.016468636,0.012597954,0.028804815,0.018117477
48,birthmarks/bzip2_amd64_darwin_gcc_61bd47af.json,birthmarks/bzip2_amd64_windows_msvc.exe_4eddc4d6.json,0.459185597,0.433036768,0.383332294,0.386539343,0.293169972,0.221354172,0.5,0.310658133
49,birthmarks/bzip2_amd64_darwin_gcc_61bd47af.json,birthmarks/bzip2_amd64_windows_rs-pure.exe_5b22b00c.json,0.002730403,0.002623282,0.002334324,0.002382299,0.00171831,0.001350407,0.002942856,0.001916086
50,birthmarks/bzip2_amd64_darwin_gcc_61bd47af.json,birthmarks/bzip2_amd64_windows_rs-sys.exe_3e3736a4.json,0.002795909,0.002695211,0.002388273,0.002454116,0.001765977,0.00139018,0.003013674,0.001956207
