id,left (arch),left (os),left (compiler),right (arch),right (os),right (compiler),cosine,dice,euclidean,jaccard,lcs,levenshtein,simpson,weighted-jaccard
110,amd64,darwin,rs-pure,amd64,windows,clang,0.554877,0.536681,0.461948,0.481734,0.350827,0.268746,0.614708,0.373604
111,amd64,darwin,rs-pure,amd64,windows,gcc,0.029928,0.028930,0.025530,0.026271,0.019315,0.015036,0.032523,0.021032
112,amd64,darwin,rs-pure,amd64,windows,go,0.599244,0.569228,0.491121,0.494207,0.355569,0.261607,0.681499,0.380429
113,amd64,darwin,rs-pure,amd64,windows,msvc,0.036449,0.035239,0.031226,0.032304,0.024281,0.019407,0.039262,0.026184
114,amd64,darwin,rs-pure,amd64,windows,rs-pure,0.137316,0.135284,0.114874,0.124616,0.096344,0.080228,0.149910,0.095430
115,amd64,darwin,rs-pure,amd64,windows,rs-sys,0.140618,0.138396,0.117671,0.127404,0.098674,0.082145,0.153517,0.097700
116,amd64,darwin,rs-pure,arm64,darwin,clang,0.017526,0.016988,0.014964,0.015614,0.011351,0.008970,0.018752,0.012245
117,amd64,darwin,rs-pure,arm64,darwin,gcc,0.018828,0.018069,0.015932,0.016423,0.011607,0.008881,0.020217,0.012703
118,amd64,darwin,rs-pure,arm64,darwin,go,0.584146,0.604628,0.441574,0.521260,0.323017,0.234466,0.737755,0.341121
119,amd64,darwin,rs-pure,arm64,darwin,rs-pure,0.938783,0.929380,0.860484,0.893334,0.788620,0.698751,0.977439,0.815475
