,bzip2_amd64_darwin_clang_28dc2ee7.json,bzip2_amd64_darwin_gcc_885ac7de.json,bzip2_amd64_darwin_go_cd368ba0.json,bzip2_amd64_darwin_rs-pure_672b9aab.json,bzip2_amd64_darwin_rs-sys_089b3292.json,bzip2_amd64_darwin_tgo_e9ce53c1.json,bzip2_amd64_linux_clang_2430eb37.json,bzip2_amd64_linux_gcc_4399a2b9.json,bzip2_amd64_linux_go_62958439.json,bzip2_amd64_linux_rs-pure_227bfcee.json,bzip2_amd64_linux_rs-sys_90d77d68.json,bzip2_amd64_linux_tgo_339261c9.json,bzip2_amd64_windows_clang.exe_ac39e1ca.json,bzip2_amd64_windows_gcc.exe_6c63c1e7.json,bzip2_amd64_windows_go.exe_475848bc.json,bzip2_amd64_windows_msvc.exe_bf6ed930.json,bzip2_amd64_windows_rs-pure.exe_0f1bb339.json,bzip2_amd64_windows_rs-sys.exe_e8875bd0.json,bzip2_arm64_darwin_clang_48b110af.json,bzip2_arm64_darwin_gcc_87a53fd3.json,bzip2_arm64_darwin_go_f857338e.json,bzip2_arm64_darwin_rs-pure_4270a245.json,bzip2_arm64_darwin_rs-sys_26360764.json,bzip2_arm64_darwin_tgo_91b83a84.json,bzip2_arm64_linux_clang_1ab795bb.json,bzip2_arm64_linux_gcc_96b9e9ad.json,bzip2_arm64_linux_go_8a45dfb5.json,bzip2_arm64_linux_rs-pure_434c6cad.json,bzip2_arm64_linux_rs-sys_0cdcf5cb.json,bzip2_arm64_linux_tgo_5485493c.json,bzip2_arm64_windows_clang.exe_bbfd25d7.json,bzip2_arm64_windows_go.exe_f32aecb8.json,bzip2_arm64_windows_msvc.exe_2fc063be.json,bzip2_arm64_windows_rs-pure.exe_70f3ba79.json,bzip2_arm64_windows_rs-sys.exe_223cea53.json
bzip2_arm64_darwin_clang_48b110af.json,,,,,,,,,,,,,,,,,,,1.00,0.94,0.03,0.02,0.02,0.14,0.90,0.75,0.03,0.02,0.02,0.10,0.03,0.04,0.09,0.01,0.01
bzip2_arm64_darwin_gcc_87a53fd3.json,,,,,,,,,,,,,,,,,,,,1.00,0.02,0.02,0.02,0.13,0.85,0.71,0.02,0.02,0.02,0.09,0.02,0.03,0.09,0.01,0.01
bzip2_arm64_darwin_go_f857338e.json,,,,,,,,,,,,,,,,,,,,,1.00,0.75,0.76,0.19,0.03,0.03,0.98,0.74,0.75,0.26,0.98,0.71,0.28,0.53,0.54
bzip2_arm64_darwin_rs-pure_4270a245.json,,,,,,,,,,,,,,,,,,,,,,1.00,0.99,0.15,0.02,0.03,0.76,0.99,1.00,0.20,0.76,0.53,0.21,0.71,0.72
bzip2_arm64_darwin_rs-sys_26360764.json,,,,,,,,,,,,,,,,,,,,,,,1.00,0.15,0.02,0.03,0.77,0.97,0.99,0.20,0.77,0.54,0.22,0.70,0.71
bzip2_arm64_darwin_tgo_91b83a84.json,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.15,0.18,0.19,0.14,0.15,0.74,0.19,0.27,0.68,0.10,0.10
bzip2_arm64_linux_clang_1ab795bb.json,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.84,0.03,0.02,0.02,0.11,0.03,0.04,0.10,0.02,0.02
bzip2_arm64_linux_gcc_96b9e9ad.json,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.03,0.03,0.03,0.13,0.03,0.05,0.12,0.02,0.02
bzip2_arm64_linux_go_8a45dfb5.json,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.75,0.76,0.26,1.00,0.70,0.28,0.54,0.55
bzip2_arm64_linux_rs-pure_434c6cad.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.99,0.19,0.75,0.53,0.21,0.72,0.73
bzip2_arm64_linux_rs-sys_0cdcf5cb.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.20,0.76,0.53,0.21,0.71,0.72
bzip2_arm64_linux_tgo_5485493c.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.26,0.37,0.92,0.14,0.14
bzip2_arm64_windows_clang.exe_bbfd25d7.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.70,0.28,0.54,0.55
bzip2_arm64_windows_go.exe_f32aecb8.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.40,0.38,0.38
bzip2_arm64_windows_msvc.exe_2fc063be.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.15,0.15
bzip2_arm64_windows_rs-pure.exe_70f3ba79.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.99
bzip2_arm64_windows_rs-sys.exe_223cea53.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00

total duration,"1214m 54.54s (72,894,541,243,043 nsec)"
