,bzip2_gcc_b1c2c8b8.json,bzip2_go_19140ab0.json,bzip2_rs_pd_734ca4e0.json,factorize_gcc_19f3120b.json,factorize_go_ac545792.json,factorize_rs_7986d4cd.json,md5gcc_6477443e.json,md5go_f07553a4.json,md5rs_6c0401ce.json,sha256gcc_9de4683a.json,sha256go_784cc26b.json,sha256rs_0cd988fe.json
bzip2_gcc_b1c2c8b8.json,1.00,1.00,1.00,0.39,1.00,1.00,0.42,1.00,1.00,0.41,1.00,1.00
bzip2_go_19140ab0.json,,1.00,1.00,0.32,1.00,1.00,0.35,1.00,1.00,0.44,1.00,1.00
bzip2_rs_pd_734ca4e0.json,,,1.00,0.32,1.00,1.00,0.37,1.00,1.00,0.39,1.00,1.00
factorize_gcc_19f3120b.json,,,,1.00,0.32,0.32,0.26,0.32,0.32,0.24,0.32,0.32
factorize_go_ac545792.json,,,,,1.00,1.00,0.35,1.00,1.00,0.44,1.00,1.00
factorize_rs_7986d4cd.json,,,,,,1.00,0.35,1.00,1.00,0.39,1.00,1.00
md5gcc_6477443e.json,,,,,,,1.00,0.47,0.35,0.84,0.35,0.35
md5go_f07553a4.json,,,,,,,,1.00,1.00,0.44,1.00,1.00
md5rs_6c0401ce.json,,,,,,,,,1.00,0.39,1.00,1.00
sha256gcc_9de4683a.json,,,,,,,,,,1.00,0.44,0.39
sha256go_784cc26b.json,,,,,,,,,,,1.00,1.00
sha256rs_0cd988fe.json,,,,,,,,,,,,1.00

total duration,"401m 43.05s (24,103,052,920,333 nsec)"
