weighted-jaccard,arm64_darwin_go,arm64_linux_rs-sys,amd64_darwin_go,amd64_linux_rs-sys,0.353413,0.411656,FOUND
weighted-jaccard,arm64_darwin_go,arm64_linux_tgo,amd64_darwin_go,amd64_linux_tgo,0.214678,0.157502,FOUND
weighted-jaccard,arm64_darwin_go,arm64_windows_clang,amd64_darwin_go,amd64_windows_clang,0.387221,0.450040,FOUND
weighted-jaccard,arm64_darwin_go,arm64_windows_gcc,amd64_darwin_go,amd64_windows_gcc,0.026660,0.026939,FOUND
weighted-jaccard,arm64_darwin_go,arm64_windows_go,amd64_darwin_go,amd64_windows_go,0.448829,0.647950,FOUND
weighted-jaccard,arm64_darwin_go,arm64_windows_msvc,amd64_darwin_go,amd64_windows_msvc,0.033546,0.031622,FOUND
weighted-jaccard,arm64_darwin_go,arm64_windows_rs-pure,amd64_darwin_go,amd64_windows_rs-pure,0.058861,0.068110,FOUND
weighted-jaccard,arm64_darwin_go,arm64_windows_rs-sys,amd64_darwin_go,amd64_windows_rs-sys,0.060188,0.069813,FOUND
weighted-jaccard,arm64_darwin_rs-pure,arm64_darwin_rs-sys,amd64_darwin_rs-pure,amd64_darwin_rs-sys,0.977970,0.976809,FOUND
weighted-jaccard,arm64_darwin_rs-pure,arm64_darwin_tgo,amd64_darwin_rs-pure,amd64_darwin_tgo,0.174770,0.109590,FOUND
weighted-jaccard,arm64_darwin_rs-pure,arm64_linux_clang,amd64_darwin_rs-pure,amd64_linux_clang,0.013747,0.012988,FOUND
weighted-jaccard,arm64_darwin_rs-pure,arm64_linux_gcc,amd64_darwin_rs-pure,amd64_linux_gcc,0.016061,0.014405,FOUND
weighted-jaccard,arm64_darwin_rs-pure,arm64_linux_go,amd64_darwin_rs-pure,amd64_linux_go,0.342909,0.418691,FOUND
weighted-jaccard,arm64_darwin_rs-pure,arm64_linux_rs-pure,amd64_darwin_rs-pure,amd64_linux_rs-pure,0.875758,0.619299,FOUND
weighted-jaccard,arm64_darwin_rs-pure,arm64_linux_rs-sys,amd64_darwin_rs-pure,amd64_linux_rs-sys,0.872750,0.608981,FOUND
weighted-jaccard,arm64_darwin_rs-pure,arm64_linux_tgo,amd64_darwin_rs-pure,amd64_linux_tgo,0.198575,0.123023,FOUND
weighted-jaccard,arm64_darwin_rs-pure,arm64_windows_clang,amd64_darwin_rs-pure,amd64_windows_clang,0.440129,0.373604,FOUND
weighted-jaccard,arm64_darwin_rs-pure,arm64_windows_gcc,amd64_darwin_rs-pure,amd64_windows_gcc,0.020629,0.021032,FOUND
weighted-jaccard,arm64_darwin_rs-pure,arm64_windows_go,amd64_darwin_rs-pure,amd64_windows_go,0.290597,0.380429,FOUND
weighted-jaccard,arm64_darwin_rs-pure,arm64_windows_msvc,amd64_darwin_rs-pure,amd64_windows_msvc,0.026521,0.026184,FOUND
weighted-jaccard,arm64_darwin_rs-pure,arm64_windows_rs-pure,amd64_darwin_rs-pure,amd64_windows_rs-pure,0.106262,0.095430,FOUND
weighted-jaccard,arm64_darwin_rs-pure,arm64_windows_rs-sys,amd64_darwin_rs-pure,amd64_windows_rs-sys,0.108566,0.097700,FOUND
weighted-jaccard,arm64_darwin_rs-sys,arm64_darwin_tgo,amd64_darwin_rs-sys,amd64_darwin_tgo,0.176541,0.111110,FOUND
weighted-jaccard,arm64_darwin_rs-sys,arm64_linux_clang,amd64_darwin_rs-sys,amd64_linux_clang,0.013929,0.013137,FOUND
weighted-jaccard,arm64_darwin_rs-sys,arm64_linux_gcc,amd64_darwin_rs-sys,amd64_linux_gcc,0.016306,0.014626,FOUND
weighted-jaccard,arm64_darwin_rs-sys,arm64_linux_go,amd64_darwin_rs-sys,amd64_linux_go,0.344952,0.423136,FOUND
weighted-jaccard,arm64_darwin_rs-sys,arm64_linux_rs-pure,amd64_darwin_rs-sys,amd64_linux_rs-pure,0.859798,0.614461,FOUND
weighted-jaccard,arm64_darwin_rs-sys,arm64_linux_rs-sys,amd64_darwin_rs-sys,amd64_linux_rs-sys,0.875413,0.614109,FOUND
weighted-jaccard,arm64_darwin_rs-sys,arm64_linux_tgo,amd64_darwin_rs-sys,amd64_linux_tgo,0.200770,0.124699,FOUND
weighted-jaccard,arm64_darwin_rs-sys,arm64_windows_clang,amd64_darwin_rs-sys,amd64_windows_clang,0.446218,0.378428,FOUND
weighted-jaccard,arm64_darwin_rs-sys,arm64_windows_gcc,amd64_darwin_rs-sys,amd64_windows_gcc,0.020891,0.021378,FOUND
weighted-jaccard,arm64_darwin_rs-sys,arm64_windows_go,amd64_darwin_rs-sys,amd64_windows_go,0.293291,0.384369,FOUND
weighted-jaccard,arm64_darwin_rs-sys,arm64_windows_msvc,amd64_darwin_rs-sys,amd64_windows_msvc,0.026962,0.026533,FOUND
weighted-jaccard,arm64_darwin_rs-sys,arm64_windows_rs-pure,amd64_darwin_rs-sys,amd64_windows_rs-pure,0.105509,0.094808,FOUND
weighted-jaccard,arm64_darwin_rs-sys,arm64_windows_rs-sys,amd64_darwin_rs-sys,amd64_windows_rs-sys,0.107819,0.097076,FOUND
weighted-jaccard,arm64_darwin_tgo,arm64_linux_clang,amd64_darwin_tgo,amd64_linux_clang,0.044358,0.068710,FOUND
weighted-jaccard,arm64_darwin_tgo,arm64_linux_gcc,amd64_darwin_tgo,amd64_linux_gcc,0.050847,0.077841,FOUND
weighted-jaccard,arm64_darwin_tgo,arm64_linux_go,amd64_darwin_tgo,amd64_linux_go,0.153912,0.140247,FOUND
weighted-jaccard,arm64_darwin_tgo,arm64_linux_rs-pure,amd64_darwin_tgo,amd64_linux_rs-pure,0.175053,0.097989,FOUND
weighted-jaccard,arm64_darwin_tgo,arm64_linux_rs-sys,amd64_darwin_tgo,amd64_linux_rs-sys,0.177539,0.099605,FOUND
weighted-jaccard,arm64_darwin_tgo,arm64_linux_tgo,amd64_darwin_tgo,amd64_linux_tgo,0.648430,0.573220,FOUND
weighted-jaccard,arm64_darwin_tgo,arm64_windows_clang,amd64_darwin_tgo,amd64_windows_clang,0.210324,0.175351,FOUND
weighted-jaccard,arm64_darwin_tgo,arm64_windows_gcc,amd64_darwin_tgo,amd64_windows_gcc,0.066198,0.117105,FOUND
weighted-jaccard,arm64_darwin_tgo,arm64_windows_go,amd64_darwin_tgo,amd64_windows_go,0.211878,0.153179,FOUND
weighted-jaccard,arm64_darwin_tgo,arm64_windows_msvc,amd64_darwin_tgo,amd64_windows_msvc,0.081796,0.139982,FOUND
weighted-jaccard,arm64_darwin_tgo,arm64_windows_rs-pure,amd64_darwin_tgo,amd64_windows_rs-pure,0.039647,0.016890,FOUND
weighted-jaccard,arm64_darwin_tgo,arm64_windows_rs-sys,amd64_darwin_tgo,amd64_windows_rs-sys,0.040543,0.017323,FOUND
weighted-jaccard,arm64_linux_clang,arm64_linux_gcc,amd64_linux_clang,amd64_linux_gcc,0.609851,0.623888,FOUND
weighted-jaccard,arm64_linux_clang,arm64_linux_go,amd64_linux_clang,amd64_linux_go,0.017752,0.016689,FOUND
weighted-jaccard,arm64_linux_clang,arm64_linux_rs-pure,amd64_linux_clang,amd64_linux_rs-pure,0.013828,0.013215,FOUND
weighted-jaccard,arm64_linux_clang,arm64_linux_rs-sys,amd64_linux_clang,amd64_linux_rs-sys,0.014112,0.013478,FOUND
weighted-jaccard,arm64_linux_clang,arm64_linux_tgo,amd64_linux_clang,amd64_linux_tgo,0.036596,0.058274,FOUND
weighted-jaccard,arm64_linux_clang,arm64_windows_clang,amd64_linux_clang,amd64_windows_clang,0.019823,0.024615,FOUND
weighted-jaccard,arm64_linux_clang,arm64_windows_gcc,amd64_linux_clang,amd64_windows_gcc,0.458980,0.405029,FOUND
weighted-jaccard,arm64_linux_clang,arm64_windows_go,amd64_linux_clang,amd64_windows_go,0.026041,0.018880,FOUND
weighted-jaccard,arm64_linux_clang,arm64_windows_msvc,amd64_linux_clang,amd64_windows_msvc,0.313956,0.297291,FOUND
weighted-jaccard,arm64_linux_clang,arm64_windows_rs-pure,amd64_linux_clang,amd64_windows_rs-pure,0.002313,0.001966,FOUND
weighted-jaccard,arm64_linux_clang,arm64_windows_rs-sys,amd64_linux_clang,amd64_windows_rs-sys,0.002357,0.002015,FOUND
weighted-jaccard,arm64_linux_gcc,arm64_linux_go,amd64_linux_gcc,amd64_linux_go,0.020419,0.018936,FOUND
weighted-jaccard,arm64_linux_gcc,arm64_linux_rs-pure,amd64_linux_gcc,amd64_linux_rs-pure,0.016177,0.013852,FOUND
weighted-jaccard,arm64_linux_gcc,arm64_linux_rs-sys,amd64_linux_gcc,amd64_linux_rs-sys,0.016496,0.014069,FOUND
weighted-jaccard,arm64_linux_gcc,arm64_linux_tgo,amd64_linux_gcc,amd64_linux_tgo,0.041713,0.065783,FOUND
weighted-jaccard,arm64_linux_gcc,arm64_windows_clang,amd64_linux_gcc,amd64_windows_clang,0.021749,0.024308,FOUND
weighted-jaccard,arm64_linux_gcc,arm64_windows_gcc,amd64_linux_gcc,amd64_windows_gcc,0.640765,0.539274,FOUND
weighted-jaccard,arm64_linux_gcc,arm64_windows_go,amd64_linux_gcc,amd64_windows_go,0.030093,0.020991,FOUND
weighted-jaccard,arm64_linux_gcc,arm64_windows_msvc,amd64_linux_gcc,amd64_windows_msvc,0.363708,0.332010,FOUND
weighted-jaccard,arm64_linux_gcc,arm64_windows_rs-pure,amd64_linux_gcc,amd64_windows_rs-pure,0.002698,0.002226,FOUND
weighted-jaccard,arm64_linux_gcc,arm64_windows_rs-sys,amd64_linux_gcc,amd64_windows_rs-sys,0.002763,0.002278,FOUND
weighted-jaccard,arm64_linux_go,arm64_linux_rs-pure,amd64_linux_go,amd64_linux_rs-pure,0.341147,0.417517,FOUND
weighted-jaccard,arm64_linux_go,arm64_linux_rs-sys,amd64_linux_go,amd64_linux_rs-sys,0.343637,0.423117,FOUND
weighted-jaccard,arm64_linux_go,arm64_linux_tgo,amd64_linux_go,amd64_linux_tgo,0.176849,0.161168,FOUND
weighted-jaccard,arm64_linux_go,arm64_windows_clang,amd64_linux_go,amd64_windows_clang,0.390488,0.444783,FOUND
weighted-jaccard,arm64_linux_go,arm64_windows_gcc,amd64_linux_go,amd64_windows_gcc,0.026159,0.027705,FOUND
weighted-jaccard,arm64_linux_go,arm64_windows_go,amd64_linux_go,amd64_windows_go,0.470944,0.845731,FOUND
weighted-jaccard,arm64_linux_go,arm64_windows_msvc,amd64_linux_go,amd64_windows_msvc,0.033661,0.033230,FOUND
weighted-jaccard,arm64_linux_go,arm64_windows_rs-pure,amd64_linux_go,amd64_windows_rs-pure,0.056449,0.069877,FOUND
weighted-jaccard,arm64_linux_go,arm64_windows_rs-sys,amd64_linux_go,amd64_windows_rs-sys,0.057701,0.071580,FOUND
