euclidean,arm64_darwin_go,arm64_windows_clang,amd64_darwin_go,amd64_windows_clang,0.504897,0.582507,FOUND
euclidean,arm64_darwin_go,arm64_windows_gcc,amd64_darwin_go,amd64_windows_gcc,0.033246,0.033187,FOUND
euclidean,arm64_darwin_go,arm64_windows_go,amd64_darwin_go,amd64_windows_go,0.530645,0.729326,FOUND
euclidean,arm64_darwin_go,arm64_windows_msvc,amd64_darwin_go,amd64_windows_msvc,0.041226,0.039659,FOUND
euclidean,arm64_darwin_go,arm64_windows_rs-pure,amd64_darwin_go,amd64_windows_rs-pure,0.078404,0.085370,FOUND
euclidean,arm64_darwin_go,arm64_windows_rs-sys,amd64_darwin_go,amd64_windows_rs-sys,0.080165,0.087520,FOUND
euclidean,arm64_darwin_rs-pure,arm64_darwin_rs-sys,amd64_darwin_rs-pure,amd64_darwin_rs-sys,0.981109,0.980351,FOUND
euclidean,arm64_darwin_rs-pure,arm64_darwin_tgo,amd64_darwin_rs-pure,amd64_darwin_tgo,0.210147,0.132470,FOUND
euclidean,arm64_darwin_rs-pure,arm64_linux_clang,amd64_darwin_rs-pure,amd64_linux_clang,0.016548,0.015739,FOUND
euclidean,arm64_darwin_rs-pure,arm64_linux_gcc,amd64_darwin_rs-pure,amd64_linux_gcc,0.019506,0.017547,FOUND
euclidean,arm64_darwin_rs-pure,arm64_linux_go,amd64_darwin_rs-pure,amd64_linux_go,0.441813,0.539562,FOUND
euclidean,arm64_darwin_rs-pure,arm64_linux_rs-pure,amd64_darwin_rs-pure,amd64_linux_rs-pure,0.899380,0.699293,FOUND
euclidean,arm64_darwin_rs-pure,arm64_linux_rs-sys,amd64_darwin_rs-pure,amd64_linux_rs-sys,0.901386,0.690893,FOUND
euclidean,arm64_darwin_rs-pure,arm64_linux_tgo,amd64_darwin_rs-pure,amd64_linux_tgo,0.247005,0.152372,FOUND
euclidean,arm64_darwin_rs-pure,arm64_windows_clang,amd64_darwin_rs-pure,amd64_windows_clang,0.555803,0.461948,FOUND
euclidean,arm64_darwin_rs-pure,arm64_windows_gcc,amd64_darwin_rs-pure,amd64_windows_gcc,0.025146,0.025530,FOUND
euclidean,arm64_darwin_rs-pure,arm64_windows_go,amd64_darwin_rs-pure,amd64_windows_go,0.376926,0.491121,FOUND
euclidean,arm64_darwin_rs-pure,arm64_windows_msvc,amd64_darwin_rs-pure,amd64_windows_msvc,0.031801,0.031226,FOUND
euclidean,arm64_darwin_rs-pure,arm64_windows_rs-pure,amd64_darwin_rs-pure,amd64_windows_rs-pure,0.127826,0.114874,FOUND
euclidean,arm64_darwin_rs-pure,arm64_windows_rs-sys,amd64_darwin_rs-pure,amd64_windows_rs-sys,0.130663,0.117671,FOUND
euclidean,arm64_darwin_rs-sys,arm64_darwin_tgo,amd64_darwin_rs-sys,amd64_darwin_tgo,0.212550,0.134259,FOUND
euclidean,arm64_darwin_rs-sys,arm64_linux_clang,amd64_darwin_rs-sys,amd64_linux_clang,0.016763,0.015935,FOUND
euclidean,arm64_darwin_rs-sys,arm64_linux_gcc,amd64_darwin_rs-sys,amd64_linux_gcc,0.019780,0.017798,FOUND
euclidean,arm64_darwin_rs-sys,arm64_linux_go,amd64_darwin_rs-sys,amd64_linux_go,0.444155,0.545412,FOUND
euclidean,arm64_darwin_rs-sys,arm64_linux_rs-pure,amd64_darwin_rs-sys,amd64_linux_rs-pure,0.885085,0.696208,FOUND
euclidean,arm64_darwin_rs-sys,arm64_linux_rs-sys,amd64_darwin_rs-sys,amd64_linux_rs-sys,0.899775,0.694291,FOUND
euclidean,arm64_darwin_rs-sys,arm64_linux_tgo,amd64_darwin_rs-sys,amd64_linux_tgo,0.249841,0.154507,FOUND
euclidean,arm64_darwin_rs-sys,arm64_windows_clang,amd64_darwin_rs-sys,amd64_windows_clang,0.562764,0.467828,FOUND
euclidean,arm64_darwin_rs-sys,arm64_windows_gcc,amd64_darwin_rs-sys,amd64_windows_gcc,0.025479,0.025912,FOUND
euclidean,arm64_darwin_rs-sys,arm64_windows_go,amd64_darwin_rs-sys,amd64_windows_go,0.380177,0.496274,FOUND
euclidean,arm64_darwin_rs-sys,arm64_windows_msvc,amd64_darwin_rs-sys,amd64_windows_msvc,0.032261,0.031639,FOUND
euclidean,arm64_darwin_rs-sys,arm64_windows_rs-pure,amd64_darwin_rs-sys,amd64_windows_rs-pure,0.126616,0.113812,FOUND
euclidean,arm64_darwin_rs-sys,arm64_windows_rs-sys,amd64_darwin_rs-sys,amd64_windows_rs-sys,0.129441,0.116599,FOUND
euclidean,arm64_darwin_tgo,arm64_linux_clang,amd64_darwin_tgo,amd64_linux_clang,0.054218,0.087052,FOUND
euclidean,arm64_darwin_tgo,arm64_linux_gcc,amd64_darwin_tgo,amd64_linux_gcc,0.063576,0.098241,FOUND
euclidean,arm64_darwin_tgo,arm64_linux_go,amd64_darwin_tgo,amd64_linux_go,0.200705,0.172426,FOUND
euclidean,arm64_darwin_tgo,arm64_linux_rs-pure,amd64_darwin_tgo,amd64_linux_rs-pure,0.209238,0.124198,FOUND
euclidean,arm64_darwin_tgo,arm64_linux_rs-sys,amd64_darwin_tgo,amd64_linux_rs-sys,0.212352,0.126173,FOUND
euclidean,arm64_darwin_tgo,arm64_linux_tgo,amd64_darwin_tgo,amd64_linux_tgo,0.692346,0.630362,FOUND
euclidean,arm64_darwin_tgo,arm64_windows_clang,amd64_darwin_tgo,amd64_windows_clang,0.259223,0.213628,FOUND
euclidean,arm64_darwin_tgo,arm64_windows_gcc,amd64_darwin_tgo,amd64_windows_gcc,0.082718,0.145695,FOUND
euclidean,arm64_darwin_tgo,arm64_windows_go,amd64_darwin_tgo,amd64_windows_go,0.273319,0.189553,FOUND
euclidean,arm64_darwin_tgo,arm64_windows_msvc,amd64_darwin_tgo,amd64_windows_msvc,0.101484,0.174508,FOUND
euclidean,arm64_darwin_tgo,arm64_windows_rs-pure,amd64_darwin_tgo,amd64_windows_rs-pure,0.043591,0.020125,FOUND
euclidean,arm64_darwin_tgo,arm64_windows_rs-sys,amd64_darwin_tgo,amd64_windows_rs-sys,0.044593,0.020636,FOUND
euclidean,arm64_linux_clang,arm64_linux_gcc,amd64_linux_clang,amd64_linux_gcc,0.688969,0.710045,FOUND
euclidean,arm64_linux_clang,arm64_linux_go,amd64_linux_clang,amd64_linux_go,0.021551,0.020426,FOUND
euclidean,arm64_linux_clang,arm64_linux_rs-pure,amd64_linux_clang,amd64_linux_rs-pure,0.016566,0.015926,FOUND
euclidean,arm64_linux_clang,arm64_linux_rs-sys,amd64_linux_clang,amd64_linux_rs-sys,0.016852,0.016180,FOUND
euclidean,arm64_linux_clang,arm64_linux_tgo,amd64_linux_clang,amd64_linux_tgo,0.044650,0.073173,FOUND
euclidean,arm64_linux_clang,arm64_windows_clang,amd64_linux_clang,amd64_windows_clang,0.022150,0.027075,FOUND
euclidean,arm64_linux_clang,arm64_windows_gcc,amd64_linux_clang,amd64_windows_gcc,0.520083,0.470224,FOUND
euclidean,arm64_linux_clang,arm64_windows_go,amd64_linux_clang,amd64_windows_go,0.031528,0.023062,FOUND
euclidean,arm64_linux_clang,arm64_windows_msvc,amd64_linux_clang,amd64_windows_msvc,0.387060,0.361161,FOUND
euclidean,arm64_linux_clang,arm64_windows_rs-pure,amd64_linux_clang,amd64_windows_rs-pure,0.002784,0.002371,FOUND
euclidean,arm64_linux_clang,arm64_windows_rs-sys,amd64_linux_clang,amd64_windows_rs-sys,0.002844,0.002429,FOUND
euclidean,arm64_linux_gcc,arm64_linux_go,amd64_linux_gcc,amd64_linux_go,0.025189,0.023099,FOUND
euclidean,arm64_linux_gcc,arm64_linux_rs-pure,amd64_linux_gcc,amd64_linux_rs-pure,0.019486,0.017299,FOUND
euclidean,arm64_linux_gcc,arm64_linux_rs-sys,amd64_linux_gcc,amd64_linux_rs-sys,0.019791,0.017557,FOUND
