cosine,arm64_darwin_go,arm64_windows_gcc,amd64_darwin_go,amd64_windows_gcc,0.039195,0.039381,FOUND
cosine,arm64_darwin_go,arm64_windows_go,amd64_darwin_go,amd64_windows_go,0.624159,0.843462,FOUND
cosine,arm64_darwin_go,arm64_windows_msvc,amd64_darwin_go,amd64_windows_msvc,0.047936,0.047442,FOUND
cosine,arm64_darwin_go,arm64_windows_rs-pure,amd64_darwin_go,amd64_windows_rs-pure,0.106417,0.101167,FOUND
cosine,arm64_darwin_go,arm64_windows_rs-sys,amd64_darwin_go,amd64_windows_rs-sys,0.108811,0.103620,FOUND
cosine,arm64_darwin_rs-pure,arm64_darwin_rs-sys,amd64_darwin_rs-pure,amd64_darwin_rs-sys,0.985272,0.984682,FOUND
cosine,arm64_darwin_rs-pure,arm64_darwin_tgo,amd64_darwin_rs-pure,amd64_darwin_tgo,0.249893,0.155088,FOUND
cosine,arm64_darwin_rs-pure,arm64_linux_clang,amd64_darwin_rs-pure,amd64_linux_clang,0.019426,0.018473,FOUND
cosine,arm64_darwin_rs-pure,arm64_linux_gcc,amd64_darwin_rs-pure,amd64_linux_gcc,0.023008,0.020374,FOUND
cosine,arm64_darwin_rs-pure,arm64_linux_go,amd64_darwin_rs-pure,amd64_linux_go,0.581799,0.656430,FOUND
cosine,arm64_darwin_rs-pure,arm64_linux_rs-pure,amd64_darwin_rs-pure,amd64_linux_rs-pure,0.956093,0.823407,FOUND
cosine,arm64_darwin_rs-pure,arm64_linux_rs-sys,amd64_darwin_rs-pure,amd64_linux_rs-sys,0.963064,0.814990,FOUND
cosine,arm64_darwin_rs-pure,arm64_linux_tgo,amd64_darwin_rs-pure,amd64_linux_tgo,0.299039,0.181856,FOUND
cosine,arm64_darwin_rs-pure,arm64_windows_clang,amd64_darwin_rs-pure,amd64_windows_clang,0.680254,0.554877,FOUND
cosine,arm64_darwin_rs-pure,arm64_windows_gcc,amd64_darwin_rs-pure,amd64_windows_gcc,0.029527,0.029928,FOUND
cosine,arm64_darwin_rs-pure,arm64_windows_go,amd64_darwin_rs-pure,amd64_windows_go,0.462097,0.599244,FOUND
cosine,arm64_darwin_rs-pure,arm64_windows_msvc,amd64_darwin_rs-pure,amd64_windows_msvc,0.036630,0.036449,FOUND
cosine,arm64_darwin_rs-pure,arm64_windows_rs-pure,amd64_darwin_rs-pure,amd64_windows_rs-pure,0.152403,0.137316,FOUND
