dice,arm64_darwin_go,arm64_windows_go,amd64_darwin_go,amd64_windows_go,0.650586,0.838198,FOUND
dice,arm64_darwin_go,arm64_windows_msvc,amd64_darwin_go,amd64_windows_msvc,0.045467,0.045016,FOUND
dice,arm64_darwin_go,arm64_windows_rs-pure,amd64_darwin_go,amd64_windows_rs-pure,0.109894,0.098356,FOUND
dice,arm64_darwin_go,arm64_windows_rs-sys,amd64_darwin_go,amd64_windows_rs-sys,0.112229,0.100605,FOUND
dice,arm64_darwin_rs-pure,arm64_darwin_rs-sys,amd64_darwin_rs-pure,amd64_darwin_rs-sys,0.984391,0.983235,FOUND
dice,arm64_darwin_rs-pure,arm64_darwin_tgo,amd64_darwin_rs-pure,amd64_darwin_tgo,0.236520,0.151246,FOUND
dice,arm64_darwin_rs-pure,arm64_linux_clang,amd64_darwin_rs-pure,amd64_linux_clang,0.019103,0.017915,FOUND
dice,arm64_darwin_rs-pure,arm64_linux_gcc,amd64_darwin_rs-pure,amd64_linux_gcc,0.022224,0.019587,FOUND
dice,arm64_darwin_rs-pure,arm64_linux_go,amd64_darwin_rs-pure,amd64_linux_go,0.622177,0.623250,FOUND
dice,arm64_darwin_rs-pure,arm64_linux_rs-pure,amd64_darwin_rs-pure,amd64_linux_rs-pure,0.950032,0.848179,FOUND
dice,arm64_darwin_rs-pure,arm64_linux_rs-sys,amd64_darwin_rs-pure,amd64_linux_rs-sys,0.954906,0.840215,FOUND
dice,arm64_darwin_rs-pure,arm64_linux_tgo,amd64_darwin_rs-pure,amd64_linux_tgo,0.282043,0.179584,FOUND
dice,arm64_darwin_rs-pure,arm64_windows_clang,amd64_darwin_rs-pure,amd64_windows_clang,0.659321,0.536681,FOUND
dice,arm64_darwin_rs-pure,arm64_windows_gcc,amd64_darwin_rs-pure,amd64_windows_gcc,0.028556,0.028930,FOUND
dice,arm64_darwin_rs-pure,arm64_windows_go,amd64_darwin_rs-pure,amd64_windows_go,0.453300,0.569228,FOUND
dice,arm64_darwin_rs-pure,arm64_windows_msvc,amd64_darwin_rs-pure,amd64_windows_msvc,0.034862,0.035239,FOUND
dice,arm64_darwin_rs-pure,arm64_windows_rs-pure,amd64_darwin_rs-pure,amd64_windows_rs-pure,0.151269,0.135284,FOUND
dice,arm64_darwin_rs-pure,arm64_windows_rs-sys,amd64_darwin_rs-pure,amd64_windows_rs-sys,0.154426,0.138396,FOUND
dice,arm64_darwin_rs-sys,arm64_darwin_tgo,amd64_darwin_rs-sys,amd64_darwin_tgo,0.239334,0.153319,FOUND
dice,arm64_darwin_rs-sys,arm64_linux_clang,amd64_darwin_rs-sys,amd64_linux_clang,0.019390,0.018229,FOUND
dice,arm64_darwin_rs-sys,arm64_linux_gcc,amd64_darwin_rs-sys,amd64_linux_gcc,0.022543,0.019885,FOUND
dice,arm64_darwin_rs-sys,arm64_linux_go,amd64_darwin_rs-sys,amd64_linux_go,0.628832,0.630650,FOUND
dice,arm64_darwin_rs-sys,arm64_linux_rs-pure,amd64_darwin_rs-sys,amd64_linux_rs-pure,0.936872,0.842922,FOUND
dice,arm64_darwin_rs-sys,arm64_linux_rs-sys,amd64_darwin_rs-sys,amd64_linux_rs-sys,0.951163,0.845155,FOUND
dice,arm64_darwin_rs-sys,arm64_linux_tgo,amd64_darwin_rs-sys,amd64_linux_tgo,0.285442,0.182068,FOUND
dice,arm64_darwin_rs-sys,arm64_windows_clang,amd64_darwin_rs-sys,amd64_windows_clang,0.668003,0.543716,FOUND
dice,arm64_darwin_rs-sys,arm64_windows_gcc,amd64_darwin_rs-sys,amd64_windows_gcc,0.028978,0.029385,FOUND
dice,arm64_darwin_rs-sys,arm64_windows_go,amd64_darwin_rs-sys,amd64_windows_go,0.458591,0.576106,FOUND
dice,arm64_darwin_rs-sys,arm64_windows_msvc,amd64_darwin_rs-sys,amd64_windows_msvc,0.035368,0.035695,FOUND
dice,arm64_darwin_rs-sys,arm64_windows_rs-pure,amd64_darwin_rs-sys,amd64_windows_rs-pure,0.149682,0.133810,FOUND
dice,arm64_darwin_rs-sys,arm64_windows_rs-sys,amd64_darwin_rs-sys,amd64_windows_rs-sys,0.152826,0.136912,FOUND
dice,arm64_darwin_tgo,arm64_linux_clang,amd64_darwin_tgo,amd64_linux_clang,0.062861,0.100957,FOUND
dice,arm64_darwin_tgo,arm64_linux_gcc,amd64_darwin_tgo,amd64_linux_gcc,0.074401,0.113660,FOUND
dice,arm64_darwin_tgo,arm64_linux_go,amd64_darwin_tgo,amd64_linux_go,0.257039,0.195063,FOUND
dice,arm64_darwin_tgo,arm64_linux_rs-pure,amd64_darwin_tgo,amd64_linux_rs-pure,0.235168,0.144114,FOUND
dice,arm64_darwin_tgo,arm64_linux_rs-sys,amd64_darwin_tgo,amd64_linux_rs-sys,0.238575,0.146526,FOUND
dice,arm64_darwin_tgo,arm64_linux_tgo,amd64_darwin_tgo,amd64_linux_tgo,0.757355,0.751206,FOUND
dice,arm64_darwin_tgo,arm64_windows_clang,amd64_darwin_tgo,amd64_windows_clang,0.292276,0.244788,FOUND
dice,arm64_darwin_tgo,arm64_windows_gcc,amd64_darwin_tgo,amd64_windows_gcc,0.094759,0.167301,FOUND
dice,arm64_darwin_tgo,arm64_windows_go,amd64_darwin_tgo,amd64_windows_go,0.341727,0.213310,FOUND
dice,arm64_darwin_tgo,arm64_windows_msvc,amd64_darwin_tgo,amd64_windows_msvc,0.113208,0.200311,FOUND
dice,arm64_darwin_tgo,arm64_windows_rs-pure,amd64_darwin_tgo,amd64_windows_rs-pure,0.046995,0.022919,FOUND
dice,arm64_darwin_tgo,arm64_windows_rs-sys,amd64_darwin_tgo,amd64_windows_rs-sys,0.048061,0.023462,FOUND
dice,arm64_linux_clang,arm64_linux_gcc,amd64_linux_clang,amd64_linux_gcc,0.762051,0.811480,FOUND
dice,arm64_linux_clang,arm64_linux_go,amd64_linux_clang,amd64_linux_go,0.024793,0.023266,FOUND
dice,arm64_linux_clang,arm64_linux_rs-pure,amd64_linux_clang,amd64_linux_rs-pure,0.018888,0.017986,FOUND
dice,arm64_linux_clang,arm64_linux_rs-sys,amd64_linux_clang,amd64_linux_rs-sys,0.019255,0.018309,FOUND
dice,arm64_linux_clang,arm64_linux_tgo,amd64_linux_clang,amd64_linux_tgo,0.051251,0.084888,FOUND
dice,arm64_linux_clang,arm64_windows_clang,amd64_linux_clang,amd64_windows_clang,0.025828,0.030576,FOUND
dice,arm64_linux_clang,arm64_windows_gcc,amd64_linux_clang,amd64_windows_gcc,0.594016,0.554349,FOUND
dice,arm64_linux_clang,arm64_windows_go,amd64_linux_clang,amd64_windows_go,0.035893,0.025654,FOUND
dice,arm64_linux_clang,arm64_windows_msvc,amd64_linux_clang,amd64_windows_msvc,0.470932,0.438692,FOUND
dice,arm64_linux_clang,arm64_windows_rs-pure,amd64_linux_clang,amd64_windows_rs-pure,0.003196,0.002674,FOUND
dice,arm64_linux_clang,arm64_windows_rs-sys,amd64_linux_clang,amd64_windows_rs-sys,0.003276,0.002741,FOUND
dice,arm64_linux_gcc,arm64_linux_go,amd64_linux_gcc,amd64_linux_go,0.029525,0.026079,FOUND
dice,arm64_linux_gcc,arm64_linux_rs-pure,amd64_linux_gcc,amd64_linux_rs-pure,0.022008,0.019352,FOUND
dice,arm64_linux_gcc,arm64_linux_rs-sys,amd64_linux_gcc,amd64_linux_rs-sys,0.022437,0.019674,FOUND
dice,arm64_linux_gcc,arm64_linux_tgo,amd64_linux_gcc,amd64_linux_tgo,0.060158,0.093688,FOUND
dice,arm64_linux_gcc,arm64_windows_clang,amd64_linux_gcc,amd64_windows_clang,0.029586,0.033111,FOUND
dice,arm64_linux_gcc,arm64_windows_gcc,amd64_linux_gcc,amd64_windows_gcc,0.734058,0.638911,FOUND
dice,arm64_linux_gcc,arm64_windows_go,amd64_linux_gcc,amd64_windows_go,0.042632,0.028910,FOUND
dice,arm64_linux_gcc,arm64_windows_msvc,amd64_linux_gcc,amd64_windows_msvc,0.555962,0.489045,FOUND
dice,arm64_linux_gcc,arm64_windows_rs-pure,amd64_linux_gcc,amd64_windows_rs-pure,0.003749,0.002995,FOUND
dice,arm64_linux_gcc,arm64_windows_rs-sys,amd64_linux_gcc,amd64_windows_rs-sys,0.003843,0.003073,FOUND
dice,arm64_linux_go,arm64_linux_rs-pure,amd64_linux_go,amd64_linux_rs-pure,0.615435,0.606409,FOUND
dice,arm64_linux_go,arm64_linux_rs-sys,amd64_linux_go,amd64_linux_rs-sys,0.622986,0.615023,FOUND
dice,arm64_linux_go,arm64_linux_tgo,amd64_linux_go,amd64_linux_tgo,0.310155,0.233852,FOUND
dice,arm64_linux_go,arm64_windows_clang,amd64_linux_go,amd64_windows_clang,0.760145,0.663940,FOUND
dice,arm64_linux_go,arm64_windows_gcc,amd64_linux_go,amd64_windows_gcc,0.037306,0.038143,FOUND
dice,arm64_linux_go,arm64_windows_go,amd64_linux_go,amd64_windows_go,0.658861,0.891991,FOUND
dice,arm64_linux_go,arm64_windows_msvc,amd64_linux_go,amd64_windows_msvc,0.045214,0.045991,FOUND
dice,arm64_linux_go,arm64_windows_rs-pure,amd64_linux_go,amd64_windows_rs-pure,0.108482,0.098470,FOUND
dice,arm64_linux_go,arm64_windows_rs-sys,amd64_linux_go,amd64_windows_rs-sys,0.110747,0.100683,FOUND
dice,arm64_linux_rs-pure,arm64_linux_rs-sys,amd64_linux_rs-pure,amd64_linux_rs-sys,0.981589,0.982280,FOUND
dice,arm64_linux_rs-pure,arm64_linux_tgo,amd64_linux_rs-pure,amd64_linux_tgo,0.280093,0.173276,FOUND
dice,arm64_linux_rs-pure,arm64_windows_clang,amd64_linux_rs-pure,amd64_windows_clang,0.649678,0.498663,FOUND
dice,arm64_linux_rs-pure,arm64_windows_gcc,amd64_linux_rs-pure,amd64_windows_gcc,0.028356,0.028706,FOUND
dice,arm64_linux_rs-pure,arm64_windows_go,amd64_linux_rs-pure,amd64_windows_go,0.448040,0.552481,FOUND
dice,arm64_linux_rs-pure,arm64_windows_msvc,amd64_linux_rs-pure,amd64_windows_msvc,0.034104,0.033970,FOUND
dice,arm64_linux_rs-pure,arm64_windows_rs-pure,amd64_linux_rs-pure,amd64_windows_rs-pure,0.153265,0.124104,FOUND
dice,arm64_linux_rs-pure,arm64_windows_rs-sys,amd64_linux_rs-pure,amd64_windows_rs-sys,0.156507,0.126911,FOUND
dice,arm64_linux_rs-sys,arm64_linux_tgo,amd64_linux_rs-sys,amd64_linux_tgo,0.284268,0.176081,FOUND
dice,arm64_linux_rs-sys,arm64_windows_clang,amd64_linux_rs-sys,amd64_windows_clang,0.659618,0.505635,FOUND
dice,arm64_linux_rs-sys,arm64_windows_gcc,amd64_linux_rs-sys,amd64_windows_gcc,0.028878,0.029213,FOUND
dice,arm64_linux_rs-sys,arm64_windows_go,amd64_linux_rs-sys,amd64_windows_go,0.454354,0.560527,FOUND
dice,arm64_linux_rs-sys,arm64_windows_msvc,amd64_linux_rs-sys,amd64_windows_msvc,0.034756,0.034616,FOUND
dice,arm64_linux_rs-sys,arm64_windows_rs-pure,amd64_linux_rs-sys,amd64_windows_rs-pure,0.151173,0.122419,FOUND
dice,arm64_linux_rs-sys,arm64_windows_rs-sys,amd64_linux_rs-sys,amd64_windows_rs-sys,0.154397,0.125202,FOUND
dice,arm64_linux_tgo,arm64_windows_clang,amd64_linux_tgo,amd64_windows_clang,0.352149,0.291506,FOUND
dice,arm64_linux_tgo,arm64_windows_gcc,amd64_linux_tgo,amd64_windows_gcc,0.077503,0.139272,FOUND
dice,arm64_linux_tgo,arm64_windows_go,amd64_linux_tgo,amd64_windows_go,0.415117,0.253278,FOUND
dice,arm64_linux_tgo,arm64_windows_msvc,amd64_linux_tgo,amd64_windows_msvc,0.092523,0.165583,FOUND
dice,arm64_linux_tgo,arm64_windows_rs-pure,amd64_linux_tgo,amd64_windows_rs-pure,0.056488,0.027446,FOUND
dice,arm64_linux_tgo,arm64_windows_rs-sys,amd64_linux_tgo,amd64_windows_rs-sys,0.057804,0.028091,FOUND
dice,arm64_windows_clang,arm64_windows_gcc,amd64_windows_clang,amd64_windows_gcc,0.038097,0.048855,FOUND
dice,arm64_windows_clang,arm64_windows_go,amd64_windows_clang,amd64_windows_go,0.567880,0.714550,FOUND
dice,arm64_windows_clang,arm64_windows_msvc,amd64_windows_clang,amd64_windows_msvc,0.047014,0.060476,FOUND
dice,arm64_windows_clang,arm64_windows_rs-pure,amd64_windows_clang,amd64_windows_rs-pure,0.116047,0.083280,FOUND
dice,arm64_windows_clang,arm64_windows_rs-sys,amd64_windows_clang,amd64_windows_rs-sys,0.118665,0.085280,FOUND
dice,arm64_windows_gcc,arm64_windows_go,amd64_windows_gcc,amd64_windows_go,0.054023,0.042033,FOUND
dice,arm64_windows_gcc,arm64_windows_msvc,amd64_windows_gcc,amd64_windows_msvc,0.698732,0.700430,FOUND
dice,arm64_windows_gcc,arm64_windows_rs-pure,amd64_windows_gcc,amd64_windows_rs-pure,0.004826,0.004408,FOUND
dice,arm64_windows_gcc,arm64_windows_rs-sys,amd64_windows_gcc,amd64_windows_rs-sys,0.004943,0.004518,FOUND
dice,arm64_windows_go,arm64_windows_msvc,amd64_windows_go,amd64_windows_msvc,0.065198,0.050443,FOUND
dice,arm64_windows_go,arm64_windows_rs-pure,amd64_windows_go,amd64_windows_rs-pure,0.077178,0.089118,FOUND
dice,arm64_windows_go,arm64_windows_rs-sys,amd64_windows_go,amd64_windows_rs-sys,0.078808,0.091112,FOUND
