,"[0.00, 0.10)","[0.10, 0.20)","[0.20, 0.30)","[0.30, 0.40)","[0.40, 0.50)","[0.50, 0.60)","[0.60, 0.70)","[0.70, 0.80)","[0.80, 0.90)","[0.90, 1.00)","[1.00, 1.00]"
experiments/experiment1/top-n-all/tables/cosine.csv,0,4,16,7,10,10,5,4,1,6,3
experiments/experiment1/top-n-all/tables/dice.csv,0,0,15,12,8,11,6,4,0,7,3
experiments/experiment1/top-n-all/tables/euclidean.csv,0,15,12,10,9,6,5,0,3,3,3
experiments/experiment1/top-n-all/tables/jaccard.csv,0,4,23,8,2,15,3,1,2,5,3
experiments/experiment1/top-n-all/tables/lcs.csv,1,26,10,12,7,0,1,0,3,3,3
experiments/experiment1/top-n-all/tables/levenshtein.csv,26,8,15,4,3,1,0,0,3,3,3
experiments/experiment1/top-n-all/tables/simpson.csv,0,0,0,8,17,11,14,5,1,7,3
experiments/experiment1/top-n-all/tables/weighted-jaccard.csv,8,19,10,12,6,2,0,0,3,3,3
