Similarity,cosine,dice,euclidean,jaccard,lcs,levenshtein,simpson,weighted-jaccard
0,0.2683982683982684,0.27705627705627706,0.3333333333333333,0.3333333333333333,0.33766233766233766,0.33766233766233766,0.2683982683982684,0.33766233766233766
0.01,0.36363636363636365,0.36363636363636365,0.38095238095238093,0.36363636363636365,0.39826839826839827,0.44155844155844154,0.36363636363636365,0.38095238095238093
0.02,0.38961038961038963,0.39826839826839827,0.4329004329004329,0.4329004329004329,0.4675324675324675,0.5021645021645021,0.38961038961038963,0.47186147186147187
0.03,0.4329004329004329,0.43722943722943725,0.46320346320346323,0.4458874458874459,0.49783549783549785,0.5238095238095238,0.4329004329004329,0.5064935064935064
0.04,0.4805194805194805,0.48484848484848486,0.5064935064935064,0.5064935064935064,0.5238095238095238,0.5497835497835498,0.4458874458874459,0.5238095238095238
0.05,0.5021645021645021,0.5064935064935064,0.5151515151515151,0.5064935064935064,0.5497835497835498,0.5844155844155844,0.4935064935064935,0.5411255411255411
0.06,0.5064935064935064,0.5064935064935064,0.5194805194805194,0.5064935064935064,0.5757575757575758,0.5844155844155844,0.49783549783549785,0.5497835497835498
0.07,0.5064935064935064,0.5064935064935064,0.5497835497835498,0.5454545454545454,0.5844155844155844,0.5930735930735931,0.5064935064935064,0.5757575757575758
0.08,0.5281385281385281,0.5324675324675324,0.5670995670995671,0.5497835497835498,0.5844155844155844,0.6103896103896104,0.5064935064935064,0.5844155844155844
0.09,0.5497835497835498,0.5497835497835498,0.5757575757575758,0.5757575757575758,0.5930735930735931,0.6363636363636364,0.5324675324675324,0.5844155844155844
0.1,0.5497835497835498,0.5757575757575758,0.5844155844155844,0.5844155844155844,0.6147186147186147,0.6926406926406926,0.5324675324675324,0.6277056277056277
0.11,0.5757575757575758,0.5844155844155844,0.5844155844155844,0.5844155844155844,0.6363636363636364,0.7186147186147186,0.5497835497835498,0.6320346320346321
0.12,0.5844155844155844,0.5844155844155844,0.6190476190476191,0.6147186147186147,0.6363636363636364,0.7316017316017316,0.5757575757575758,0.6363636363636364
0.13,0.5844155844155844,0.6017316017316018,0.6320346320346321,0.6277056277056277,0.6883116883116883,0.7619047619047619,0.5844155844155844,0.6753246753246753
0.14,0.6190476190476191,0.6190476190476191,0.6320346320346321,0.6320346320346321,0.696969697,0.7748917748917749,0.5844155844155844,0.6883116883116883
0.15,0.6190476190476191,0.6190476190476191,0.6363636363636364,0.6320346320346321,0.7012987012987013,0.7748917748917749,0.5974025974025974,0.696969697
0.16,0.6320346320346321,0.6320346320346321,0.6753246753246753,0.6493506493506493,0.7012987012987013,0.7748917748917749,0.6190476190476191,0.7012987012987013
0.17,0.6320346320346321,0.6363636363636364,0.6753246753246753,0.6753246753246753,0.7316017316017316,0.7835497835497836,0.6190476190476191,0.7142857142857143
0.18,0.6363636363636364,0.6363636363636364,0.6883116883116883,0.6753246753246753,0.7489177489177489,0.7835497835497836,0.6190476190476191,0.7489177489177489
0.19,0.6623376623376623,0.6623376623376623,0.7012987012987013,0.6796536796536796,0.7575757575757576,0.7878787878787878,0.6190476190476191,0.7705627705627706
