arm64_darwin_rs-sys,arm64_linux_tgo,amd64_darwin_rs-sys,amd64_linux_tgo,0.180147,0.154159,FOUND
arm64_darwin_tgo,arm64_linux_gcc,amd64_darwin_tgo,amd64_linux_gcc,0.163384,0.144841,FOUND
arm64_darwin_tgo,arm64_linux_rs-pure,amd64_darwin_tgo,amd64_linux_rs-pure,0.134792,0.121041,FOUND
arm64_linux_clang,arm64_linux_rs-sys,amd64_linux_clang,amd64_linux_rs-sys,0.020453,0.019011,FOUND
arm64_linux_gcc,arm64_linux_rs-pure,amd64_linux_gcc,amd64_linux_rs-pure,0.023981,0.019864,FOUND
arm64_linux_go,arm64_windows_go,amd64_linux_go,amd64_windows_go,0.695028,0.829466,FOUND
arm64_linux_rs-pure,arm64_windows_rs-pure,amd64_linux_rs-pure,amd64_windows_rs-pure,0.623582,0.503799,FOUND
arm64_windows_msvc,arm64_windows_rs-pure,amd64_windows_msvc,amd64_windows_rs-pure,0.139936,0.025082,FOUND
arm64_linux_tgo,arm64_linux_tgo,amd64_linux_tgo,amd64_linux_tgo,1.000000,1.000000,FOUND
arm64_windows_clang,arm64_windows_clang,amd64_windows_clang,amd64_windows_clang,1.000000,1.000000,FOUND
arm64_windows_msvc,arm64_windows_msvc,amd64_windows_msvc,amd64_windows_msvc,1.000000,1.000000,FOUND
arm64_windows_rs-pure,arm64_windows_rs-pure,amd64_windows_rs-pure,amd64_windows_rs-pure,1.000000,1.000000,FOUND
arm64_darwin_go,arm64_linux_clang,amd64_darwin_go,amd64_linux_clang,0.027025,0.026514,FOUND
arm64_darwin_go,arm64_linux_tgo,amd64_darwin_go,amd64_linux_tgo,0.232504,0.218910,FOUND
arm64_darwin_go,arm64_windows_rs-pure,amd64_darwin_go,amd64_windows_rs-pure,0.456840,0.399118,FOUND
arm64_darwin_rs-pure,arm64_windows_rs-pure,amd64_darwin_rs-pure,amd64_windows_rs-pure,0.620885,0.586022,FOUND
arm64_darwin_tgo,arm64_linux_rs-sys,amd64_darwin_tgo,amd64_linux_rs-sys,0.136757,0.122658,FOUND
arm64_linux_clang,arm64_linux_tgo,amd64_linux_clang,amd64_linux_tgo,0.102695,0.109950,FOUND
arm64_linux_clang,arm64_windows_go,amd64_linux_clang,amd64_windows_go,0.037963,0.025199,FOUND
arm64_linux_clang,arm64_windows_rs-pure,amd64_linux_clang,amd64_windows_rs-pure,0.014411,0.012222,FOUND
arm64_linux_gcc,arm64_windows_rs-sys,amd64_linux_gcc,amd64_windows_rs-sys,0.017496,0.013134,FOUND
arm64_linux_rs-pure,arm64_linux_rs-sys,amd64_linux_rs-pure,amd64_linux_rs-sys,0.982673,0.984705,FOUND
arm64_windows_clang,arm64_windows_rs-pure,amd64_windows_clang,amd64_windows_rs-pure,0.476485,0.372762,FOUND
arm64_darwin_gcc,arm64_linux_clang,amd64_darwin_gcc,amd64_linux_clang,0.786678,0.860582,FOUND
arm64_darwin_gcc,arm64_linux_gcc,amd64_darwin_gcc,amd64_linux_gcc,0.644345,0.790633,FOUND
arm64_darwin_gcc,arm64_linux_rs-pure,amd64_darwin_gcc,amd64_linux_rs-pure,0.017020,0.017432,FOUND
arm64_darwin_go,arm64_linux_gcc,amd64_darwin_go,amd64_linux_gcc,0.032300,0.028311,FOUND
arm64_darwin_go,arm64_windows_clang,amd64_darwin_go,amd64_windows_clang,0.782206,0.755050,FOUND
arm64_darwin_rs-pure,arm64_darwin_rs-sys,amd64_darwin_rs-pure,amd64_darwin_rs-sys,0.984988,0.984104,FOUND
arm64_darwin_rs-sys,arm64_windows_go,amd64_darwin_rs-sys,amd64_windows_go,0.475843,0.614938,FOUND
arm64_darwin_tgo,arm64_windows_clang,amd64_darwin_tgo,amd64_windows_clang,0.176510,0.194664,FOUND
arm64_linux_clang,arm64_linux_gcc,amd64_linux_clang,amd64_linux_gcc,0.783413,0.890517,FOUND
arm64_linux_clang,arm64_linux_rs-pure,amd64_linux_clang,amd64_linux_rs-pure,0.020144,0.018736,FOUND
arm64_linux_gcc,arm64_linux_go,amd64_linux_gcc,amd64_linux_go,0.031436,0.026638,FOUND
arm64_linux_gcc,arm64_windows_msvc,amd64_linux_gcc,amd64_windows_msvc,0.114061,0.480011,FOUND
arm64_linux_gcc,arm64_windows_rs-pure,amd64_linux_gcc,amd64_windows_rs-pure,0.017260,0.012993,FOUND
arm64_linux_go,arm64_windows_rs-sys,amd64_linux_go,amd64_windows_rs-sys,0.471286,0.437959,FOUND
arm64_linux_rs-sys,arm64_windows_rs-sys,amd64_linux_rs-sys,amd64_windows_rs-sys,0.623617,0.501098,FOUND
arm64_darwin_rs-pure,arm64_darwin_rs-pure,amd64_darwin_rs-pure,amd64_darwin_rs-pure,1.000000,1.000000,FOUND
arm64_windows_rs-sys,arm64_windows_rs-sys,amd64_windows_rs-sys,amd64_windows_rs-sys,1.000000,1.000000,FOUND
arm64_darwin_go,arm64_darwin_rs-sys,amd64_darwin_go,amd64_darwin_rs-sys,0.590353,0.623524,FOUND
