result,318936875,0.8569115325719564
left,birthmark,bzip2-1.0.5,/Users/tamada/researches/2026snpd_tamada_experiments/experiments/experiment0/executables/bzip2-1.0.5,op-seq,2026-04-17T04:57:47.890829+00:00,3127708
right,birthmark,bzip2-1.0.3,/Users/tamada/researches/2026snpd_tamada_experiments/experiments/experiment0/executables/bzip2-1.0.3,op-seq,2026-04-17T04:57:16.349313+00:00,1592375
matrix,,_fopen_output_safely,entry,_mySIGSEGVorSIGBUScatcher,_addFlagsFromEnvVar,_snocString,_usage,_mySignalCatcher,_compress,_uncompress,_testf,_showFileNames,_cleanUpAndFail,_cadvise,_outOfMemory,_panic,_configError,_crcError,_compressedStreamEOF,_OUTLINED_FUNCTION_0,_OUTLINED_FUNCTION_1,_BZ2_blockSort,_fallbackSort,_mainGtU,_BZ2_hbMakeCodeLengths,_BZ2_hbAssignCodes,_BZ2_hbCreateDecodeTables,_BZ2_bsInitWrite,_BZ2_compressBlock,_bsPutUInt32,_BZ2_decompress,_BZ2_bzlibVersion,_BZ2_bzCompressInit,_default_bzalloc,_default_bzfree,_BZ2_bzCompress,_handle_compress,_BZ2_bzCompressEnd,_BZ2_bzDecompressInit,_BZ2_indexIntoF,_BZ2_bzDecompress,_BZ2_bzDecompressEnd,_BZ2_bzWriteOpen,_BZ2_bzWrite,_BZ2_bzWriteClose,_BZ2_bzWriteClose64,_BZ2_bzReadOpen,_BZ2_bzReadClose,_BZ2_bzRead,_BZ2_bzReadGetUnused,_BZ2_bzBuffToBuffCompress,_BZ2_bzBuffToBuffDecompress,_BZ2_bzopen,_bzopen_or_bzdopen,_BZ2_bzdopen,_BZ2_bzread,_BZ2_bzwrite,_BZ2_bzflush,_BZ2_bzclose,_BZ2_bzerror,_add_pair_to_block,_ioError,_main.cold.1,_main.cold.2,_main.cold.3,_BZ2_bz__AssertH__fail
0,entry,0.003470031545741325,0.15254237288135594,0.042801556420233464,0.125,0.23529411764705882,0.21052631578947367,0.0018612521150592216,0.0018257261410788382,0.0062006764374295375,0.23809523809523808,0.05,0.19047619047619047,0.23809523809523808,0.23809523809523808,0.03237410071942446,0.2857142857142857,0.20833333333333334,0.17391304347826086,0.13636363636363635,0.18181818181818182,0.00030142767106020334,0.0078125,0.01643192488262911,0.00865460267505901,0.15555555555555556,0.011396011396011397,0.07142857142857142,0.0002216758695739793,0.01702127659574468,0.03271028037383177,0.18181818181818182,0.022727272727272728,0.15384615384615385,0.23076923076923078,0.07534246575342465,0.011033099297893681,0.11475409836065574,0.09876543209876543,0.16666666666666666,0.005248091603053435,0.11475409836065574,0.12087912087912088,0.0728476821192053,0.18181818181818182,0.03806228373702422,0.09090909090909091,0.06306306306306306,0.0625,0.08928571428571429,0.025252525252525252,0.024691358024691357,0.16666666666666666,0.029177718832891247,0.16666666666666666,0.30434782608695654,0.3333333333333333,0.18181818181818182,0.08270676691729323,0.041666666666666664,0.04081632653061224,0.20833333333333334,0.3333333333333333,0.21052631578947367,0.38095238095238093,0
1,_mySIGSEGVorSIGBUScatcher,0.8784231116461029,0.0185546875,0.06732927220262905,0.022121014964216004,0.0032552083333333335,0.00390625,0.4748768472906404,0.49376026272577994,0.55072,0.0048828125,0.07161458333333333,0.004557291666666667,0.0048828125,0.0048828125,0.05548549810844893,0.005208333333333333,0.005859375,0.013997395833333334,0.004557291666666667,0.0006510416666666666,0.08039103246770979,0.2017167381974249,0.05782621858916137,0.16122994652406417,0.012687052700065062,0.06978723404255319,0.0013020833333333333,0.060348123553677434,0.03871576959395656,0.032724984266834484,0.0006510416666666666,0.056981840951784594,0.0006506180871828237,0.0016276041666666667,0.04446608244076598,0.11387900355871886,0.016569200779727095,0.019087673891944355,0.006501950585175552,0.1658019399954884,0.016569200779727095,0.025616083009079117,0.042704626334519574,0.0006510416666666666,0.07072316024211532,0.03333333333333333,0.03314917127071823,0.04808002581477896,0.01495448634590377,0.11407455012853471,0.11912427559562137,0.0009765625,0.11329890251775339,0.0009765625,0.00585746827204686,0.0029296875,0.0006510416666666666,0.04193758127438232,0.0035772357723577236,0.035193405199746355,0.005859375,0.0016276041666666667,0.00390625,0.005859375,0
2,_addFlagsFromEnvVar,0.017981072555205046,1,0.19391634980988592,0.5301204819277109,0.17543859649122806,0.21052631578947367,0.009644670050761422,0.009460580912863071,0.032130777903043965,0.2413793103448276,0.25339366515837103,0.24561403508771928,0.2631578947368421,0.2631578947368421,0.16433566433566432,0.25862068965517243,0.3157894736842105,0.6666666666666666,0.24561403508771928,0.03508771929824561,0.0015619433864028718,0.040482954545454544,0.066815144766147,0.0440251572327044,0.30666666666666664,0.04419889502762431,0.03389830508474576,0.0011486840514288018,0.05166051660516605,0.047058823529411764,0.03508771929824561,0.14968152866242038,0.03389830508474576,0.08771929824561403,0.18023255813953487,0.056112224448897796,0.17525773195876287,0.1440677966101695,0.265625,0.02670481640438722,0.17525773195876287,0.23333333333333334,0.11229946524064172,0.03508771929824561,0.0949367088607595,0.17880794701986755,0.08609271523178808,0.13658536585365855,0.12631578947368421,0.135678391959799,0.12990196078431374,0.05263157894736842,0.15119363395225463,0.05263157894736842,0.2459016393442623,0.13793103448275862,0.03508771929824561,0.28378378378378377,0.07575757575757576,0.059322033898305086,0.3157894736842105,0.08771929824561403,0.21052631578947367,0.3157894736842105,0
3,_snocString,0.03553459119496855,0.30434782608695654,0.4671814671814672,0.38848920863309355,0.08130081300813008,0.0975609756097561,0.01857166976194496,0.019907100199071003,0.06513194834362718,0.12195121951219512,0.29924242424242425,0.10483870967741936,0.12195121951219512,0.12195121951219512,0.4,0.13008130081300814,0.13709677419354838,0.25757575757575757,0.11382113821138211,0.016260162601626018,0.003370509412764092,0.08735795454545454,0.1401673640167364,0.0967741935483871,0.312,0.15126050420168066,0.032520325203252036,0.0024787392688726774,0.21875,0.1326530612244898,0.016260162601626018,0.25219941348973607,0.032520325203252036,0.03225806451612903,0.4010416666666667,0.12,0.2765957446808511,0.2967741935483871,0.176,0.058178350023843584,0.2765957446808511,0.41721854304635764,0.32367149758454106,0.016260162601626018,0.23723723723723725,0.38636363636363635,0.25,0.2832618025751073,0.22695035460992907,0.23040380047505937,0.22273781902552203,0.024390243902439025,0.26582278481012656,0.024390243902439025,0.14516129032258066,0.07317073170731707,0.016260162601626018,0.3837837837837838,0.096,0.18796992481203006,0.13709677419354838,0.04065040650406504,0.0975609756097561,0.14634146341463414,0
4,_usage,0.014817150063051702,0.24705882352941178,0.1590909090909091,0.5657894736842105,0.1568627450980392,0.1509433962264151,0.0072684246112238,0.008132780082987552,0.026463963963963964,0.18518518518518517,0.12552301255230125,0.23529411764705882,0.16363636363636364,0.16363636363636364,0.13240418118466898,0.2037037037037037,0.17543859649122806,0.2777777777777778,0.16666666666666666,0.04081632653061224,0.0013427232619954513,0.03480113636363636,0.04434589800443459,0.033672670321064996,0.3235294117647059,0.05649717514124294,0.08163265306122448,0.0009672933921770146,0.09055118110236221,0.08823529411764706,0.04081632653061224,0.11006289308176101,0.06,0.10204081632653061,0.22641509433962265,0.043912175648702596,0.30864197530864196,0.30927835051546393,0.25862068965517243,0.020942408376963352,0.30864197530864196,0.38613861386138615,0.22699386503067484,0.04081632653061224,0.15358361774744028,0.3076923076923077,0.21875,0.22282608695652173,0.3561643835616438,0.07766990291262135,0.07857142857142857,0.061224489795918366,0.11811023622047244,0.061224489795918366,0.25925925925925924,0.13725490196078433,0.04081632653061224,0.18181818181818182,0.10526315789473684,0.12558139534883722,0.17543859649122806,0.10204081632653061,0.1509433962264151,0.24074074074074073,0
5,_mySignalCatcher,0.0031545741324921135,0.17543859649122806,0.038910505836575876,0.14285714285714285,1,0.8333333333333334,0.001692047377326565,0.0016597510373443983,0.005636978579481398,0.5625,0.045454545454545456,0.6,0.6666666666666666,0.6666666666666666,0.032490974729241874,0.625,0.5555555555555556,0.23255813953488372,0.6,0.2,0.00027402515550927576,0.007102272727272727,0.014084507042253521,0.007867820613690008,0.13333333333333333,0.008534850640113799,0.16666666666666666,0.00020152351779452663,0.01276595744680851,0.028037383177570093,0.2,0.026143790849673203,0.16666666666666666,0.15384615384615385,0.05405405405405406,0.010030090270812437,0.09836065573770492,0.07317073170731707,0.21428571428571427,0.004770992366412214,0.09836065573770492,0.07446808510638298,0.05228758169934641,0.2,0.027491408934707903,0.06504065040650407,0.035398230088495575,0.0449438202247191,0.05263157894736842,0.02531645569620253,0.024752475247524754,0.3,0.026525198938992044,0.3,0.38095238095238093,0.35714285714285715,0.2,0.06716417910447761,0.14285714285714285,0.020100502512562814,0.5555555555555556,0.36363636363636365,0.8333333333333334,0.5555555555555556,0
6,_compress,0.0037854889589905363,0.21052631578947367,0.04669260700389105,0.17142857142857143,0.8333333333333334,1,0.0020304568527918783,0.001991701244813278,0.006764374295377677,0.5,0.05454545454545454,0.5294117647058824,0.8,0.8,0.039711191335740074,0.75,0.6666666666666666,0.27906976744186046,0.7333333333333333,0.16666666666666666,0.0003288301866111309,0.008522727272727272,0.014018691588785047,0.00944138473642801,0.1276595744680851,0.00851063829787234,0.14285714285714285,0.00024182822135343195,0.012658227848101266,0.027777777777777776,0.16666666666666666,0.032679738562091505,0.14285714285714285,0.13333333333333333,0.05333333333333334,0.012036108324974924,0.09523809523809523,0.07142857142857142,0.2,0.0057251908396946565,0.09523809523809523,0.07291666666666667,0.05161290322580645,0.16666666666666666,0.027303754266211604,0.064,0.034782608695652174,0.044444444444444446,0.05084745762711865,0.030379746835443037,0.0297029702970297,0.25,0.03183023872679045,0.25,0.34782608695652173,0.3125,0.16666666666666666,0.08208955223880597,0.13043478260869565,0.01990049751243781,0.6666666666666666,0.3076923076923077,1,0.5789473684210527,0
7,_uncompress,0.5709969788519638,0.011067961165048544,0.045032856590645536,0.013592233009708738,0.001941747572815534,0.002330097087378641,0.8332504558262888,0.8419317619910994,0.34186046511627904,0.002912621359223301,0.04271844660194175,0.0027184466019417475,0.002912621359223301,0.002912621359223301,0.04105909439754413,0.0031067961165048546,0.003495145631067961,0.008349514563106796,0.0027184466019417475,0.0003883495145631068,0.13707233159489937,0.14350479511769834,0.03414996288047513,0.12333799860041987,0.007961165048543689,0.053114872164205976,0.0007766990291262136,0.10132105443065972,0.027512418800152847,0.019011406844106463,0.0003883495145631068,0.04044257916825639,0.0005824111822947001,0.000970873786407767,0.027352085354025217,0.08107632782272248,0.010479332427712013,0.013767694395966647,0.004270186335403727,0.12393361253296106,0.010479332427712013,0.016880093131548313,0.02732558139534884,0.0003883495145631068,0.04415434824342484,0.021511627906976746,0.01939111886755866,0.029377657518361036,0.009708737864077669,0.06901870059764796,0.07261490923136346,0.0005825242718446602,0.0705016463296533,0.0005825242718446602,0.0036893203883495147,0.0017475728155339806,0.0003883495145631068,0.025029103608847497,0.002329192546583851,0.022192462215419935,0.003495145631067961,0.000970873786407767,0.002330097087378641,0.003495145631067961,0
8,_testf,0.6160406091370558,0.0119022760492796,0.04407200496585972,0.014616830235957402,0.0020881186051367718,0.002505742326164126,0.7707712677921218,0.7942591670814667,0.36274916943521596,0.0031321779077051574,0.04593860931300898,0.0029233660471914805,0.0031321779077051574,0.0031321779077051574,0.03451797385620915,0.003340989768218835,0.003758613489246189,0.00897891000208812,0.0029233660471914805,0.00041762372102735435,0.12703049496300745,0.14716771566086634,0.03639618138424821,0.12263801407928862,0.008350730688935281,0.049130185432995604,0.0008352474420547087,0.09404029436602726,0.026181223154019228,0.01999591920016323,0.00041762372102735435,0.03959991835068381,0.0006263048016701461,0.0010440593025683859,0.02833923734111273,0.07867263236390754,0.011268781302170284,0.013747136013330555,0.00459194322688374,0.1275794300687848,0.011268781302170284,0.01709045435598166,0.026386868896738,0.00041762372102735435,0.045501338274655134,0.020365752285951787,0.019150707743547043,0.030510585305105854,0.009386733416770964,0.07507258399004563,0.07760946254409629,0.0006264355815410315,0.07178423236514522,0.0006264355815410315,0.003967425349759866,0.0018793067446230946,0.00041762372102735435,0.02520308269110602,0.002504696305572949,0.02299794661190965,0.003758613489246189,0.0010440593025683859,0.002505742326164126,0.003758613489246189,0
9,_showFileNames,0.5505971087366436,0.03231292517006803,0.10618500273672687,0.03791737408036219,0.005668934240362812,0.006802721088435374,0.2971602434077079,0.2925655492864255,0.9196961475854585,0.008503401360544218,0.12407932011331445,0.007936507936507936,0.008503401360544218,0.008503401360544218,0.07424960505529225,0.009070294784580499,0.01020408163265306,0.024376417233560092,0.007936507936507936,0.0011337868480725624,0.047161548146931624,0.27543224768797747,0.06842619745845552,0.2267582861762328,0.022083805209513023,0.08597883597883597,0.0022675736961451248,0.03517324738114424,0.04952581664910432,0.03676470588235294,0.0011337868480725624,0.09360126916975145,0.0011325028312570782,0.002834467120181406,0.071228266965788,0.14421881475341897,0.030560271646859084,0.03309029725182277,0.011312217194570135,0.19135802469135801,0.030560271646859084,0.0409652076318743,0.060941828254847646,0.0011337868480725624,0.08797032326444092,0.04780433574207893,0.04350250976017847,0.06828193832599119,0.021971830985915493,0.1836622807017544,0.18990120746432493,0.0017006802721088435,0.1802646085997795,0.0017006802721088435,0.010770975056689343,0.00510204081632653,0.0011337868480725624,0.0633408071748879,0.006795016987542469,0.040957446808510635,0.01020408163265306,0.002834467120181406,0.006802721088435374,0.01020408163265306,0
