id,ta,,,tb,,,cosin,dic,euclidea,jaccar,lc,levenshtei,simpso,weighted-jaccar
49,amd64,darwin,gcc,amd64,windows,rs-sys,0.011696,0.011281,0.00998,0.01033,0.00759,0.005987,0.012527,0.008163
50,amd64,darwin,gcc,arm64,darwin,clang,0.938009,0.923674,0.849311,0.878417,0.78547,0.690264,0.984375,0.807818
51,amd64,darwin,gcc,arm64,darwin,gcc,0.914351,0.894604,0.824737,0.848362,0.74617,0.646731,0.952381,0.773273
52,amd64,darwin,gcc,arm64,darwin,go,0.023779,0.022443,0.019434,0.02003,0.014441,0.011139,0.025851,0.015216
53,amd64,darwin,gcc,arm64,darwin,rs-pure,0.017937,0.017228,0.014997,0.015621,0.011192,0.008638,0.019367,0.011989
54,amd64,darwin,gcc,arm64,darwin,rs-sys,0.018168,0.017548,0.015173,0.015998,0.011404,0.008775,0.019602,0.01219
55,amd64,darwin,gcc,arm64,darwin,tgo,0.121213,0.113088,0.098742,0.099553,0.074232,0.055772,0.133192,0.076858
56,amd64,darwin,gcc,arm64,linux,clang,0.812273,0.814497,0.714544,0.763245,0.635552,0.538664,0.887324,0.660959
57,amd64,darwin,gcc,arm64,linux,gcc,0.678506,0.638797,0.555015,0.572109,0.452555,0.35195,0.741176,0.463665
58,amd64,darwin,gcc,arm64,linux,go,0.023632,0.022645,0.019722,0.020508,0.014749,0.011542,0.025455,0.015889
59,amd64,darwin,gcc,arm64,linux,rs-pure,0.017753,0.016985,0.014983,0.015381,0.011385,0.008991,0.019102,0.012063
60,amd64,darwin,gcc,arm64,linux,rs-sys,0.01804,0.017346,0.015218,0.01579,0.011625,0.009133,0.019385,0.012317
61,amd64,darwin,gcc,arm64,linux,tgo,0.090691,0.084765,0.074294,0.075274,0.055598,0.043044,0.098284,0.058352
62,amd64,darwin,gcc,arm64,windows,clang,0.024145,0.023975,0.020169,0.02274,0.016781,0.013256,0.025516,0.017471
63,amd64,darwin,gcc,arm64,windows,go,0.033755,0.031672,0.028363,0.028303,0.021309,0.016603,0.036353,0.022828
64,amd64,darwin,gcc,arm64,windows,msvc,0.085251,0.081788,0.069398,0.07469,0.055202,0.043024,0.090909,0.05756
65,amd64,darwin,gcc,arm64,windows,rs-pure,0.012866,0.012354,0.010928,0.011278,0.008293,0.006398,0.013786,0.008912
66,amd64,darwin,gcc,arm64,windows,rs-sys,0.013046,0.012552,0.011082,0.011483,0.008426,0.006477,0.013969,0.009075
67,amd64,darwin,go,amd64,darwin,rs-pure,0.615583,0.594096,0.505915,0.517335,0.365845,0.274444,0.711158,0.392061
68,amd64,darwin,go,amd64,darwin,rs-sys,0.623524,0.601474,0.511883,0.523398,0.370131,0.277567,0.720669,0.396556
69,amd64,darwin,go,amd64,darwin,tgo,0.169897,0.165967,0.142165,0.150512,0.098321,0.07352,0.186419,0.112441
70,amd64,darwin,go,amd64,linux,clang,0.026514,0.024918,0.022003,0.022309,0.01695,0.013343,0.02868,0.017649
71,amd64,darwin,go,amd64,linux,gcc,0.028311,0.026928,0.023923,0.024402,0.017986,0.014128,0.030367,0.019384
72,amd64,darwin,go,amd64,linux,go,0.847736,0.882952,0.753969,0.838918,0.759745,0.677653,0.945752,0.704249
73,amd64,darwin,go,amd64,linux,rs-pure,0.58144,0.569774,0.49023,0.480662,0.348784,0.254053,0.698273,0.36066
74,amd64,darwin,go,amd64,linux,rs-sys,0.589112,0.577316,0.4964,0.48688,0.353554,0.257625,0.707337,0.365046
75,amd64,darwin,go,amd64,linux,tgo,0.21891,0.21034,0.184086,0.189902,0.132599,0.100309,0.238718,0.147737
76,amd64,darwin,go,amd64,windows,clang,0.75505,0.727802,0.613285,0.629202,0.448625,0.334203,0.884859,0.473191
77,amd64,darwin,go,amd64,windows,gcc,0.042684,0.040966,0.036358,0.036752,0.027703,0.021662,0.046816,0.029446
78,amd64,darwin,go,amd64,windows,go,0.844254,0.863456,0.727739,0.805105,0.692216,0.585469,0.952591,0.641571
79,amd64,darwin,go,amd64,windows,msvc,0.05156,0.049504,0.043775,0.044666,0.034191,0.026961,0.056516,0.035747
80,amd64,darwin,go,amd64,windows,rs-pure,0.399118,0.386266,0.325035,0.333816,0.243537,0.182864,0.466659,0.251547
81,amd64,darwin,go,amd64,windows,rs-sys,0.403345,0.390123,0.328168,0.337186,0.246226,0.185255,0.471466,0.254138
82,amd64,darwin,go,arm64,darwin,clang,0.025139,0.023819,0.021029,0.021537,0.01606,0.012711,0.026993,0.016849
83,amd64,darwin,go,arm64,darwin,gcc,0.023523,0.022249,0.019522,0.02004,0.014688,0.011487,0.025306,0.015475
84,amd64,darwin,go,arm64,darwin,go,0.798273,0.889527,0.620037,0.830421,0.558019,0.420422,0.972918,0.537331
85,amd64,darwin,go,arm64,darwin,rs-pure,0.626002,0.607245,0.5153,0.527791,0.370104,0.275962,0.728866,0.397298
86,amd64,darwin,go,arm64,darwin,rs-sys,0.633372,0.614253,0.520884,0.533693,0.374449,0.279341,0.73771,0.401456
87,amd64,darwin,go,arm64,darwin,tgo,0.181836,0.177642,0.15378,0.161453,0.11083,0.085837,0.199494,0.123795
