id,ta,,,tb,,,cosin,dic,euclidea,jaccar,lc,levenshtei,simpso,weighted-jaccar
208,amd64,linux,clang,arm64,linux,go,0.025159,0.024269,0.021045,0.021958,0.016344,0.012962,0.027475,0.017146
209,amd64,linux,clang,arm64,linux,rs-pure,0.018973,0.018481,0.016237,0.016914,0.012744,0.010433,0.020619,0.013326
210,amd64,linux,clang,arm64,linux,rs-sys,0.019267,0.018853,0.016526,0.017325,0.012989,0.010593,0.020923,0.013621
211,amd64,linux,clang,arm64,linux,tgo,0.097786,0.092015,0.082493,0.082365,0.06285,0.050129,0.106084,0.066108
212,amd64,linux,clang,arm64,windows,clang,0.025584,0.025672,0.021458,0.02424,0.018005,0.014599,0.027542,0.018507
213,amd64,linux,clang,arm64,windows,go,0.035923,0.034227,0.030215,0.030717,0.02338,0.018588,0.039238,0.024352
214,amd64,linux,clang,arm64,windows,msvc,0.090129,0.088417,0.074158,0.081103,0.060069,0.048326,0.098124,0.061307
215,amd64,linux,clang,arm64,windows,rs-pure,0.013688,0.013318,0.011698,0.012184,0.009121,0.007266,0.01488,0.00958
216,amd64,linux,clang,arm64,windows,rs-sys,0.013869,0.013502,0.011854,0.012357,0.009234,0.007319,0.015078,0.009706
217,amd64,linux,gcc,amd64,linux,go,0.026638,0.025924,0.022536,0.023829,0.017221,0.013732,0.02872,0.018495
218,amd64,linux,gcc,amd64,linux,rs-pure,0.019864,0.019089,0.017161,0.017209,0.013092,0.010808,0.021825,0.013927
219,amd64,linux,gcc,amd64,linux,rs-sys,0.020186,0.019455,0.017483,0.017612,0.013332,0.011025,0.02212,0.014222
220,amd64,linux,gcc,amd64,linux,tgo,0.117738,0.110816,0.099699,0.099397,0.074008,0.058514,0.127208,0.079732
221,amd64,linux,gcc,amd64,windows,clang,0.032232,0.031794,0.0277,0.029845,0.021412,0.017099,0.034318,0.023676
222,amd64,linux,gcc,amd64,windows,gcc,0.618854,0.599755,0.53086,0.564417,0.477283,0.404195,0.648649,0.480215
223,amd64,linux,gcc,amd64,windows,go,0.02687,0.025702,0.02281,0.023396,0.017694,0.014205,0.028927,0.018486
224,amd64,linux,gcc,amd64,windows,msvc,0.480011,0.470579,0.391554,0.424323,0.312162,0.238337,0.537313,0.319787
225,amd64,linux,gcc,amd64,windows,rs-pure,0.012993,0.012542,0.011058,0.011368,0.008276,0.00651,0.014173,0.008967
226,amd64,linux,gcc,amd64,windows,rs-sys,0.013134,0.012711,0.011189,0.011554,0.008389,0.006598,0.014317,0.009105
227,amd64,linux,gcc,arm64,darwin,clang,0.796828,0.759854,0.672786,0.681441,0.542231,0.419118,0.888889,0.56484
228,amd64,linux,gcc,arm64,darwin,gcc,0.754262,0.722495,0.641437,0.648847,0.513932,0.394906,0.833333,0.542496
229,amd64,linux,gcc,arm64,darwin,go,0.027494,0.026093,0.023272,0.02366,0.017387,0.013698,0.029545,0.018814
230,amd64,linux,gcc,arm64,darwin,rs-pure,0.02054,0.019643,0.017541,0.017854,0.013213,0.010539,0.022133,0.014415
231,amd64,linux,gcc,arm64,darwin,rs-sys,0.02079,0.019994,0.017764,0.018262,0.013411,0.010694,0.022402,0.014637
232,amd64,linux,gcc,arm64,darwin,tgo,0.138463,0.133756,0.11686,0.120781,0.087946,0.069648,0.15222,0.093688
233,amd64,linux,gcc,arm64,linux,clang,0.909847,0.872447,0.761337,0.799141,0.621962,0.495346,0.986111,0.658508
234,amd64,linux,gcc,arm64,linux,gcc,0.823829,0.813225,0.772012,0.788104,0.714201,0.649565,0.847059,0.741504
235,amd64,linux,gcc,arm64,linux,go,0.026894,0.026192,0.022902,0.024059,0.017458,0.014015,0.029091,0.018923
236,amd64,linux,gcc,arm64,linux,rs-pure,0.020321,0.019511,0.017448,0.01782,0.013365,0.010802,0.021831,0.014497
237,amd64,linux,gcc,arm64,linux,rs-sys,0.02062,0.019882,0.017706,0.018225,0.013581,0.010993,0.022154,0.014772
238,amd64,linux,gcc,arm64,linux,tgo,0.104407,0.099679,0.088157,0.090572,0.066164,0.052513,0.112324,0.070734
239,amd64,linux,gcc,arm64,windows,clang,0.027344,0.027028,0.02343,0.02538,0.018424,0.014914,0.029162,0.020073
240,amd64,linux,gcc,arm64,windows,go,0.038336,0.037231,0.032617,0.034106,0.024807,0.019707,0.041546,0.026717
241,amd64,linux,gcc,arm64,windows,msvc,0.096658,0.095274,0.080555,0.088689,0.063977,0.051305,0.103896,0.06797
242,amd64,linux,gcc,arm64,windows,rs-pure,0.014665,0.014146,0.012485,0.012964,0.009543,0.007594,0.015755,0.010238
243,amd64,linux,gcc,arm64,windows,rs-sys,0.014856,0.014388,0.012645,0.013228,0.009684,0.00772,0.015965,0.010379
244,amd64,linux,go,amd64,linux,rs-pure,0.630676,0.603465,0.535251,0.510743,0.372608,0.271704,0.736663,0.39831
245,amd64,linux,go,amd64,linux,rs-sys,0.638777,0.611578,0.541914,0.517563,0.377742,0.275533,0.746211,0.403304
246,amd64,linux,go,amd64,linux,tgo,0.200164,0.197293,0.167034,0.177373,0.121436,0.09214,0.225768,0.133496
247,amd64,linux,go,amd64,windows,clang,0.737478,0.691997,0.610225,0.600914,0.444526,0.332481,0.836857,0.473148
248,amd64,linux,go,amd64,windows,gcc,0.040566,0.039136,0.034533,0.035382,0.026273,0.020682,0.044276,0.028276
249,amd64,linux,go,amd64,windows,go,0.829466,0.877973,0.708182,0.804428,0.653597,0.524373,0.99282,0.606915
250,amd64,linux,go,amd64,windows,msvc,0.049464,0.04722,0.042594,0.042773,0.033367,0.026586,0.05345,0.035133
251,amd64,linux,go,amd64,windows,rs-pure,0.433784,0.407426,0.353005,0.351996,0.269984,0.202088,0.493496,0.275511
252,amd64,linux,go,amd64,windows,rs-sys,0.437959,0.411458,0.355924,0.355476,0.2729,0.204542,0.4985,0.277983
253,amd64,linux,go,arm64,darwin,clang,0.023889,0.022677,0.020119,0.020561,0.01534,0.012091,0.025529,0.01644
254,amd64,linux,go,arm64,darwin,gcc,0.022344,0.021235,0.018781,0.01923,0.014051,0.010968,0.023933,0.015181
255,amd64,linux,go,arm64,darwin,go,0.805229,0.869564,0.614649,0.798932,0.513472,0.377912,0.972078,0.508093
256,amd64,linux,go,arm64,darwin,rs-pure,0.666451,0.644263,0.550496,0.560699,0.401348,0.298973,0.77066,0.426084
257,amd64,linux,go,arm64,darwin,rs-sys,0.673556,0.651571,0.555506,0.566814,0.405934,0.302463,0.780025,0.430072
258,amd64,linux,go,arm64,darwin,tgo,0.174132,0.168691,0.148526,0.153824,0.107506,0.084495,0.188672,0.121054
259,amd64,linux,go,arm64,linux,clang,0.026201,0.025511,0.02237,0.023418,0.017073,0.013574,0.028321,0.018413
260,amd64,linux,go,arm64,linux,gcc,0.031231,0.030724,0.026106,0.028279,0.020025,0.015829,0.033905,0.021143
261,amd64,linux,go,arm64,linux,go,0.915776,0.923548,0.778129,0.875436,0.725155,0.606691,0.987236,0.699512
262,amd64,linux,go,arm64,linux,rs-pure,0.658911,0.633536,0.544026,0.550675,0.39719,0.297706,0.760137,0.419409
263,amd64,linux,go,arm64,linux,rs-sys,0.667338,0.641734,0.550583,0.557229,0.402593,0.30164,0.771385,0.424144
264,amd64,linux,go,arm64,linux,tgo,0.227608,0.222978,0.190338,0.200242,0.14181,0.1093,0.255684,0.15456
265,amd64,linux,go,arm64,windows,clang,0.839688,0.781228,0.650806,0.665443,0.483524,0.359907,0.984224,0.50449
266,amd64,linux,go,arm64,windows,go,0.661037,0.652469,0.570159,0.620929,0.493804,0.407891,0.691264,0.497701
267,amd64,linux,go,arm64,windows,msvc,0.252786,0.237125,0.213692,0.210629,0.159305,0.123176,0.276426,0.172509
268,amd64,linux,go,arm64,windows,rs-pure,0.477463,0.453619,0.38611,0.39308,0.295578,0.22394,0.548569,0.301582
269,amd64,linux,go,arm64,windows,rs-sys,0.483861,0.459323,0.390287,0.397869,0.299899,0.227587,0.555876,0.305377
270,amd64,linux,rs-pure,amd64,linux,rs-sys,0.984705,0.983389,0.979846,0.981221,0.976676,0.973316,0.986663,0.976426
271,amd64,linux,rs-pure,amd64,linux,tgo,0.147782,0.146982,0.122815,0.130053,0.089121,0.067193,0.171567,0.095916
272,amd64,linux,rs-pure,amd64,windows,clang,0.523422,0.507121,0.437038,0.430496,0.31898,0.233444,0.629205,0.327714
273,amd64,linux,rs-pure,amd64,windows,gcc,0.030071,0.029237,0.025786,0.026145,0.019424,0.01548,0.033647,0.020857
274,amd64,linux,rs-pure,amd64,windows,go,0.652327,0.599032,0.542595,0.505106,0.371931,0.271091,0.727174,0.401311
275,amd64,linux,rs-pure,amd64,windows,msvc,0.035859,0.034418,0.03019,0.030387,0.023764,0.018739,0.040618,0.023872
276,amd64,linux,rs-pure,amd64,windows,rs-pure,0.503799,0.524116,0.41723,0.454213,0.38472,0.308391,0.631841,0.348772
277,amd64,linux,rs-pure,amd64,windows,rs-sys,0.506243,0.52646,0.417369,0.45474,0.382998,0.306135,0.63836,0.347516
278,amd64,linux,rs-pure,arm64,darwin,clang,0.017798,0.017264,0.015182,0.015695,0.011454,0.009027,0.0194,0.012251
279,amd64,linux,rs-pure,arm64,darwin,gcc,0.016696,0.01609,0.014196,0.014541,0.010539,0.008241,0.018187,0.011458
280,amd64,linux,rs-pure,arm64,darwin,go,0.582103,0.598935,0.458984,0.509739,0.315194,0.227161,0.715871,0.340419
281,amd64,linux,rs-pure,arm64,darwin,rs-pure,0.797424,0.817523,0.669308,0.718942,0.598116,0.473316,0.958514,0.566012
282,amd64,linux,rs-pure,arm64,darwin,rs-sys,0.788646,0.806454,0.662543,0.708926,0.589457,0.466202,0.948097,0.559508
283,amd64,linux,rs-pure,arm64,darwin,tgo,0.12862,0.12494,0.108782,0.111672,0.077842,0.059366,0.143377,0.086199
284,amd64,linux,rs-pure,arm64,linux,clang,0.019519,0.019089,0.016774,0.017376,0.012989,0.010575,0.021522,0.013723
285,amd64,linux,rs-pure,arm64,linux,gcc,0.02311,0.022351,0.019585,0.019994,0.014792,0.011938,0.025765,0.015478
286,amd64,linux,rs-pure,arm64,linux,go,0.654298,0.608867,0.548281,0.519675,0.373841,0.274944,0.728944,0.414603
287,amd64,linux,rs-pure,arm64,linux,rs-pure,0.798163,0.818321,0.671231,0.717172,0.594552,0.46706,0.969116,0.566924
288,amd64,linux,rs-pure,arm64,linux,rs-sys,0.788346,0.806054,0.664015,0.706371,0.585798,0.460273,0.956656,0.55948
289,amd64,linux,rs-pure,arm64,linux,tgo,0.16706,0.165794,0.138952,0.146335,0.103491,0.079363,0.194301,0.110053
290,amd64,linux,rs-pure,arm64,windows,clang,0.600581,0.577571,0.495519,0.483411,0.367959,0.270274,0.733822,0.366908
291,amd64,linux,rs-pure,arm64,windows,go,0.471809,0.441946,0.394708,0.384472,0.260642,0.189765,0.515917,0.300747
292,amd64,linux,rs-pure,arm64,windows,msvc,0.184676,0.177657,0.154561,0.155843,0.117795,0.089878,0.210064,0.121432
293,amd64,linux,rs-pure,arm64,windows,rs-pure,0.537449,0.561144,0.438764,0.474761,0.364275,0.270651,0.697786,0.350787
294,amd64,linux,rs-pure,arm64,windows,rs-sys,0.541757,0.56611,0.440431,0.477798,0.365358,0.271299,0.707284,0.351264
295,amd64,linux,rs-sys,amd64,linux,tgo,0.149898,0.149112,0.124512,0.131996,0.090582,0.068375,0.173886,0.097377
296,amd64,linux,rs-sys,amd64,windows,clang,0.530019,0.514289,0.442629,0.436764,0.323547,0.236972,0.637144,0.332001
297,amd64,linux,rs-sys,amd64,windows,gcc,0.030543,0.029738,0.026153,0.026665,0.019698,0.015736,0.034101,0.021221
298,amd64,linux,rs-sys,amd64,windows,go,0.66085,0.606983,0.549566,0.51171,0.377192,0.275053,0.736624,0.40648
299,amd64,linux,rs-sys,amd64,windows,msvc,0.036481,0.03514,0.030698,0.031149,0.024252,0.01913,0.041167,0.024315
300,amd64,linux,rs-sys,amd64,windows,rs-pure,0.498465,0.518624,0.413523,0.449808,0.379554,0.303484,0.623402,0.34515
301,amd64,linux,rs-sys,amd64,windows,rs-sys,0.501098,0.521959,0.41459,0.452118,0.382545,0.30641,0.629872,0.346202
302,amd64,linux,rs-sys,arm64,darwin,clang,0.018054,0.017562,0.015393,0.016012,0.01168,0.009226,0.019662,0.01251
303,amd64,linux,rs-sys,arm64,darwin,gcc,0.016933,0.016381,0.014391,0.014854,0.010742,0.008421,0.018433,0.011706
304,amd64,linux,rs-sys,arm64,darwin,go,0.588821,0.606565,0.462884,0.516014,0.318859,0.229876,0.725245,0.343389
305,amd64,linux,rs-sys,arm64,darwin,rs-pure,0.802944,0.826721,0.672233,0.726035,0.599224,0.473358,0.969953,0.567071
306,amd64,linux,rs-sys,arm64,darwin,rs-sys,0.794601,0.816794,0.666277,0.717701,0.596226,0.471385,0.959525,0.563081
307,amd64,linux,rs-sys,arm64,darwin,tgo,0.13046,0.126813,0.11023,0.113431,0.079229,0.060487,0.145315,0.087343
308,amd64,linux,rs-sys,arm64,linux,clang,0.019803,0.019456,0.017017,0.017778,0.013192,0.010766,0.021813,0.014004
309,amd64,linux,rs-sys,arm64,linux,gcc,0.02348,0.022778,0.019925,0.020452,0.015118,0.012245,0.026114,0.015859
310,amd64,linux,rs-sys,arm64,linux,go,0.662766,0.616818,0.55461,0.526314,0.378773,0.278755,0.73837,0.419386
311,amd64,linux,rs-sys,arm64,linux,rs-pure,0.79234,0.814344,0.66528,0.71357,0.587548,0.461197,0.956571,0.560419
312,amd64,linux,rs-sys,arm64,linux,rs-sys,0.794166,0.816233,0.66802,0.714972,0.592815,0.465775,0.968004,0.563658
313,amd64,linux,rs-sys,arm64,linux,tgo,0.169412,0.168154,0.140745,0.148473,0.105045,0.080593,0.196928,0.111557
314,amd64,linux,rs-sys,arm64,windows,clang,0.608207,0.58577,0.502094,0.4905,0.373122,0.274185,0.743025,0.371944
315,amd64,linux,rs-sys,arm64,windows,go,0.477917,0.447688,0.399342,0.389304,0.264098,0.192459,0.522605,0.304128
316,amd64,linux,rs-sys,arm64,windows,msvc,0.187371,0.180305,0.156726,0.158259,0.119575,0.091365,0.212903,0.123136
317,amd64,linux,rs-sys,arm64,windows,rs-pure,0.53178,0.555421,0.435107,0.470582,0.360399,0.267776,0.688382,0.34774
318,amd64,linux,rs-sys,arm64,windows,rs-sys,0.536136,0.560697,0.437272,0.474232,0.363949,0.270642,0.69778,0.349546
319,amd64,linux,tgo,amd64,windows,clang,0.239465,0.237682,0.197879,0.214378,0.144772,0.110921,0.269781,0.159071
320,amd64,linux,tgo,amd64,windows,gcc,0.17848,0.16959,0.14823,0.150859,0.111681,0.08696,0.196113,0.118066
321,amd64,linux,tgo,amd64,windows,go,0.205353,0.199334,0.173278,0.179293,0.12514,0.095084,0.227401,0.13818
322,amd64,linux,tgo,amd64,windows,msvc,0.211473,0.201905,0.174443,0.178343,0.134775,0.105337,0.236749,0.13762
323,amd64,linux,tgo,amd64,windows,rs-pure,0.098917,0.098194,0.082228,0.088744,0.059665,0.045216,0.111417,0.066244
324,amd64,linux,tgo,amd64,windows,rs-sys,0.09998,0.099231,0.083144,0.089698,0.060388,0.045777,0.112547,0.067033
325,amd64,linux,tgo,arm64,darwin,clang,0.104314,0.098236,0.086203,0.087754,0.064561,0.050168,0.113074,0.068443
326,amd64,linux,tgo,arm64,darwin,gcc,0.097434,0.092017,0.080447,0.082043,0.059402,0.045881,0.106007,0.063652
327,amd64,linux,tgo,arm64,darwin,go,0.208993,0.204917,0.173295,0.185199,0.122161,0.091141,0.232253,0.137061
328,amd64,linux,tgo,arm64,darwin,rs-pure,0.155493,0.154745,0.130538,0.140685,0.094333,0.072192,0.173993,0.105369
329,amd64,linux,tgo,arm64,darwin,rs-sys,0.15744,0.156641,0.132196,0.142422,0.095517,0.073016,0.176105,0.106756
330,amd64,linux,tgo,arm64,darwin,tgo,0.746467,0.747714,0.634976,0.684427,0.553463,0.441973,0.835689,0.552696
331,amd64,linux,tgo,arm64,linux,clang,0.115695,0.110394,0.096476,0.099736,0.07304,0.057878,0.125442,0.077545
332,amd64,linux,tgo,arm64,linux,gcc,0.138676,0.131771,0.115572,0.118604,0.085525,0.06737,0.150177,0.092299
333,amd64,linux,tgo,arm64,linux,go,0.201952,0.201198,0.16881,0.181568,0.121287,0.092468,0.228687,0.134705
334,amd64,linux,tgo,arm64,linux,rs-pure,0.153949,0.152935,0.128831,0.139248,0.093497,0.071634,0.171619,0.10407
335,amd64,linux,tgo,arm64,linux,rs-sys,0.156284,0.155235,0.13089,0.141394,0.095135,0.072907,0.174154,0.105842
336,amd64,linux,tgo,arm64,linux,tgo,0.837294,0.821541,0.745594,0.774861,0.658596,0.555583,0.882995,0.682147
337,amd64,linux,tgo,arm64,windows,clang,0.202329,0.201162,0.165787,0.180839,0.121555,0.092494,0.229243,0.133018
338,amd64,linux,tgo,arm64,windows,go,0.280804,0.282192,0.233025,0.252117,0.164611,0.122318,0.326601,0.18219
339,amd64,linux,tgo,arm64,windows,msvc,0.696259,0.68765,0.551611,0.601391,0.408096,0.30647,0.816739,0.428691
340,amd64,linux,tgo,arm64,windows,rs-pure,0.109886,0.109457,0.09181,0.099131,0.0664,0.050201,0.123851,0.073729
341,amd64,linux,tgo,arm64,windows,rs-sys,0.111464,0.110985,0.093118,0.100557,0.067353,0.050958,0.125499,0.074854
342,amd64,windows,clang,amd64,windows,gcc,0.049562,0.048855,0.042683,0.045636,0.033762,0.027326,0.052908,0.036448
343,amd64,windows,clang,amd64,windows,go,0.659993,0.673906,0.540247,0.575872,0.389639,0.281658,0.841021,0.407132
344,amd64,windows,clang,amd64,windows,msvc,0.061477,0.060476,0.055903,0.057858,0.04835,0.042791,0.06387,0.050518
345,amd64,windows,clang,amd64,windows,rs-pure,0.372762,0.35601,0.308417,0.317169,0.240107,0.185655,0.412992,0.24884
346,amd64,windows,clang,amd64,windows,rs-sys,0.377045,0.360199,0.31225,0.321255,0.243407,0.188626,0.41718,0.252272
347,amd64,windows,clang,arm64,darwin,clang,0.029113,0.028648,0.025391,0.027108,0.021632,0.017625,0.030505,0.022737
348,amd64,windows,clang,arm64,darwin,gcc,0.027249,0.026638,0.023669,0.025022,0.019802,0.015861,0.028599,0.020929
349,amd64,windows,clang,arm64,darwin,go,0.705153,0.696224,0.514509,0.599991,0.365797,0.264923,0.860895,0.395941
350,amd64,windows,clang,arm64,darwin,rs-pure,0.577013,0.561096,0.476995,0.502312,0.361223,0.274744,0.644943,0.383297
351,amd64,windows,clang,arm64,darwin,rs-sys,0.584142,0.568201,0.482782,0.508859,0.366123,0.278716,0.652769,0.388358
352,amd64,windows,clang,arm64,darwin,tgo,0.207423,0.20073,0.174762,0.182494,0.125961,0.097706,0.225453,0.14193
353,amd64,windows,clang,arm64,linux,clang,0.03188,0.031743,0.027703,0.030043,0.02302,0.018773,0.033842,0.024193
354,amd64,windows,clang,arm64,linux,gcc,0.038084,0.037711,0.032212,0.035458,0.024694,0.019434,0.040515,0.027262
355,amd64,windows,clang,arm64,linux,go,0.731534,0.696555,0.584281,0.603911,0.421354,0.312512,0.847677,0.453532
356,amd64,windows,clang,arm64,linux,rs-pure,0.570651,0.55281,0.473286,0.494619,0.35837,0.27259,0.636143,0.379848
357,amd64,windows,clang,arm64,linux,rs-sys,0.579133,0.561054,0.480068,0.502026,0.363771,0.276817,0.645538,0.385559
358,amd64,windows,clang,arm64,linux,tgo,0.271546,0.26764,0.225995,0.240705,0.170185,0.13254,0.305529,0.184325
359,amd64,windows,clang,arm64,windows,clang,0.80675,0.787689,0.715168,0.740723,0.641268,0.545254,0.849737,0.652687
360,amd64,windows,clang,arm64,windows,go,0.722787,0.69519,0.530848,0.607692,0.372352,0.271716,0.826025,0.413504
361,amd64,windows,clang,arm64,windows,msvc,0.313842,0.308059,0.280324,0.291042,0.247438,0.210853,0.330315,0.255206
362,amd64,windows,clang,arm64,windows,rs-pure,0.41408,0.396831,0.339998,0.354403,0.262829,0.201828,0.459081,0.273686
363,amd64,windows,clang,arm64,windows,rs-sys,0.420148,0.402705,0.345247,0.359966,0.267155,0.205647,0.465188,0.278325
364,amd64,windows,gcc,amd64,windows,go,0.040528,0.03921,0.0344,0.035362,0.026719,0.020961,0.044596,0.02818
365,amd64,windows,gcc,amd64,windows,msvc,0.726246,0.70043,0.590013,0.61622,0.472939,0.366484,0.828358,0.469937
366,amd64,windows,gcc,amd64,windows,rs-pure,0.020006,0.019541,0.017063,0.01782,0.012947,0.010208,0.02185,0.014003
367,amd64,windows,gcc,amd64,windows,rs-sys,0.020232,0.019782,0.017281,0.018071,0.013119,0.010348,0.022072,0.014225
368,amd64,windows,gcc,arm64,darwin,clang,0.535216,0.515958,0.429712,0.472058,0.339216,0.266262,0.576577,0.362336
369,amd64,windows,gcc,arm64,darwin,gcc,0.501231,0.483933,0.400478,0.442272,0.316561,0.247248,0.540541,0.338118
370,amd64,windows,gcc,arm64,darwin,go,0.041501,0.039811,0.035197,0.035682,0.026745,0.020984,0.045548,0.028277
371,amd64,windows,gcc,arm64,darwin,rs-pure,0.031393,0.030445,0.026591,0.027731,0.020372,0.016068,0.034122,0.021914
372,amd64,windows,gcc,arm64,darwin,rs-sys,0.031781,0.030865,0.026958,0.028152,0.020628,0.016293,0.034536,0.022257
373,amd64,windows,gcc,arm64,darwin,tgo,0.210695,0.203079,0.175113,0.180897,0.132612,0.102658,0.234672,0.138807
374,amd64,windows,gcc,arm64,linux,clang,0.600723,0.581497,0.500818,0.538465,0.407889,0.328691,0.63964,0.437324
375,amd64,windows,gcc,arm64,linux,gcc,0.716089,0.692491,0.580289,0.640519,0.506714,0.416251,0.765766,0.515548
376,amd64,windows,gcc,arm64,linux,go,0.040903,0.039699,0.034806,0.035917,0.026754,0.021352,0.044848,0.028379
377,amd64,windows,gcc,arm64,linux,rs-pure,0.031058,0.030165,0.02635,0.027563,0.020458,0.016362,0.033657,0.02185
378,amd64,windows,gcc,arm64,linux,rs-sys,0.03152,0.030696,0.026761,0.028112,0.020767,0.016609,0.034154,0.022191
379,amd64,windows,gcc,arm64,linux,tgo,0.158626,0.150721,0.132899,0.134712,0.100523,0.078965,0.173167,0.106922
380,amd64,windows,gcc,arm64,windows,clang,0.042001,0.041559,0.03636,0.038892,0.028579,0.023015,0.044957,0.031318
381,amd64,windows,gcc,arm64,windows,go,0.058214,0.056314,0.049089,0.050764,0.037607,0.029882,0.064051,0.039774
382,amd64,windows,gcc,arm64,windows,msvc,0.147833,0.145496,0.125952,0.134278,0.099185,0.078393,0.160173,0.105863
383,amd64,windows,gcc,arm64,windows,rs-pure,0.022446,0.021842,0.019095,0.02003,0.014686,0.011608,0.024289,0.015865
384,amd64,windows,gcc,arm64,windows,rs-sys,0.022753,0.022167,0.019367,0.020356,0.01487,0.011782,0.024612,0.01612
385,amd64,windows,go,amd64,windows,msvc,0.048413,0.046298,0.040506,0.041189,0.031587,0.024798,0.053837,0.032375
386,amd64,windows,go,amd64,windows,rs-pure,0.385139,0.391848,0.31336,0.332529,0.227308,0.165583,0.487876,0.233561
387,amd64,windows,go,amd64,windows,rs-sys,0.388062,0.395432,0.315468,0.335368,0.229626,0.167471,0.492843,0.235465
388,amd64,windows,go,arm64,darwin,clang,0.0239,0.022673,0.019901,0.020477,0.015314,0.011944,0.025713,0.015943
389,amd64,windows,go,arm64,darwin,gcc,0.022403,0.021217,0.01859,0.019127,0.01411,0.010945,0.024106,0.014796
390,amd64,windows,go,arm64,darwin,go,0.734379,0.898487,0.61089,0.840203,0.559336,0.41751,0.979108,0.523117
391,amd64,windows,go,arm64,darwin,rs-pure,0.620233,0.624038,0.508452,0.534588,0.357974,0.261246,0.76514,0.380406
392,amd64,windows,go,arm64,darwin,rs-sys,0.625088,0.630864,0.511837,0.540082,0.36158,0.263893,0.774424,0.383223
393,amd64,windows,go,arm64,darwin,tgo,0.168811,0.166045,0.143052,0.148964,0.103038,0.078284,0.190036,0.114014
394,amd64,windows,go,arm64,linux,clang,0.026399,0.025375,0.022473,0.023116,0.017151,0.013543,0.028526,0.018381
395,amd64,windows,go,arm64,linux,gcc,0.031417,0.030479,0.026342,0.027804,0.020164,0.015984,0.03415,0.021143
396,amd64,windows,go,arm64,linux,go,0.843829,0.879331,0.71599,0.800548,0.602556,0.458638,0.994375,0.588804
397,amd64,windows,go,arm64,linux,rs-pure,0.616166,0.613698,0.502855,0.52484,0.354734,0.259143,0.7547,0.375632
398,amd64,windows,go,arm64,linux,rs-sys,0.622098,0.621624,0.507631,0.531118,0.359325,0.262356,0.765846,0.379038
399,amd64,windows,go,arm64,linux,tgo,0.228949,0.221564,0.191713,0.197559,0.142099,0.108607,0.257533,0.15348
400,amd64,windows,go,arm64,windows,clang,0.751831,0.766501,0.574642,0.644529,0.424227,0.306965,0.985809,0.437041
401,amd64,windows,go,arm64,windows,go,0.616255,0.636844,0.519816,0.590841,0.431898,0.331527,0.696264,0.425137
402,amd64,windows,go,arm64,windows,msvc,0.246743,0.23663,0.207604,0.208597,0.15566,0.119243,0.278425,0.164613
403,amd64,windows,go,arm64,windows,rs-pure,0.41375,0.434084,0.341411,0.368491,0.249519,0.180897,0.54121,0.255416
404,amd64,windows,go,arm64,windows,rs-sys,0.417974,0.438908,0.343828,0.372109,0.252628,0.183265,0.548504,0.257732
405,amd64,windows,msvc,amd64,windows,rs-pure,0.025082,0.024384,0.022336,0.022899,0.018632,0.016071,0.026378,0.019494
406,amd64,windows,msvc,amd64,windows,rs-sys,0.025367,0.02467,0.0226,0.023193,0.018909,0.01629,0.026645,0.019737
407,amd64,windows,msvc,arm64,darwin,clang,0.438486,0.415379,0.354826,0.372999,0.282956,0.220344,0.477612,0.291495
408,amd64,windows,msvc,arm64,darwin,gcc,0.411826,0.392037,0.331433,0.353359,0.262071,0.202386,0.447761,0.272044
409,amd64,windows,msvc,arm64,darwin,go,0.04988,0.048148,0.041997,0.043436,0.032234,0.025522,0.054986,0.033612
410,amd64,windows,msvc,arm64,darwin,rs-pure,0.038206,0.036822,0.032564,0.033658,0.025395,0.020329,0.041193,0.02707
411,amd64,windows,msvc,arm64,darwin,rs-sys,0.038667,0.037323,0.033102,0.034153,0.025768,0.020648,0.041693,0.027568
412,amd64,windows,msvc,arm64,darwin,tgo,0.253607,0.242824,0.207943,0.215919,0.16241,0.124852,0.283298,0.164364
413,amd64,windows,msvc,arm64,linux,clang,0.471612,0.461332,0.385228,0.415034,0.313787,0.239151,0.529851,0.315893
414,amd64,windows,msvc,arm64,linux,gcc,0.561311,0.556699,0.447951,0.501094,0.354926,0.269099,0.634328,0.359829
415,amd64,windows,msvc,arm64,linux,go,0.049398,0.047612,0.042221,0.043032,0.032817,0.025952,0.054141,0.034428
416,amd64,windows,msvc,arm64,linux,rs-pure,0.037778,0.036398,0.032277,0.033297,0.025257,0.02028,0.040631,0.026815
417,amd64,windows,msvc,arm64,linux,rs-sys,0.038354,0.037015,0.032857,0.033921,0.02568,0.020586,0.041231,0.027338
418,amd64,windows,msvc,arm64,linux,tgo,0.188545,0.180022,0.156016,0.160303,0.120857,0.095574,0.209048,0.124309
419,amd64,windows,msvc,arm64,windows,clang,0.0514,0.050357,0.045113,0.047388,0.037225,0.031038,0.054273,0.039142
420,amd64,windows,msvc,arm64,windows,go,0.070027,0.067116,0.059181,0.060347,0.045795,0.035552,0.077323,0.047761
421,amd64,windows,msvc,arm64,windows,msvc,0.183207,0.178072,0.162211,0.166577,0.141477,0.119436,0.193362,0.143582
422,amd64,windows,msvc,arm64,windows,rs-pure,0.02742,0.026516,0.023873,0.024501,0.019249,0.015908,0.029322,0.020238
423,amd64,windows,msvc,arm64,windows,rs-sys,0.027839,0.026925,0.024258,0.024922,0.019569,0.016166,0.029712,0.020598
