,bzip2_amd64_darwin_clang_28dc2ee7.json,bzip2_amd64_darwin_gcc_885ac7de.json,bzip2_amd64_darwin_go_cd368ba0.json,bzip2_amd64_darwin_rs-pure_672b9aab.json,bzip2_amd64_darwin_rs-sys_089b3292.json,bzip2_amd64_darwin_tgo_e9ce53c1.json,bzip2_amd64_linux_clang_2430eb37.json,bzip2_amd64_linux_gcc_4399a2b9.json,bzip2_amd64_linux_go_62958439.json,bzip2_amd64_linux_rs-pure_227bfcee.json,bzip2_amd64_linux_rs-sys_90d77d68.json,bzip2_amd64_linux_tgo_339261c9.json,bzip2_amd64_windows_clang.exe_ac39e1ca.json,bzip2_amd64_windows_gcc.exe_6c63c1e7.json,bzip2_amd64_windows_go.exe_475848bc.json,bzip2_amd64_windows_msvc.exe_bf6ed930.json,bzip2_amd64_windows_rs-pure.exe_0f1bb339.json,bzip2_amd64_windows_rs-sys.exe_e8875bd0.json,bzip2_arm64_darwin_clang_48b110af.json,bzip2_arm64_darwin_gcc_87a53fd3.json,bzip2_arm64_darwin_go_f857338e.json,bzip2_arm64_darwin_rs-pure_4270a245.json,bzip2_arm64_darwin_rs-sys_26360764.json,bzip2_arm64_darwin_tgo_91b83a84.json,bzip2_arm64_linux_clang_1ab795bb.json,bzip2_arm64_linux_gcc_96b9e9ad.json,bzip2_arm64_linux_go_8a45dfb5.json,bzip2_arm64_linux_rs-pure_434c6cad.json,bzip2_arm64_linux_rs-sys_0cdcf5cb.json,bzip2_arm64_linux_tgo_5485493c.json,bzip2_arm64_windows_clang.exe_bbfd25d7.json,bzip2_arm64_windows_go.exe_f32aecb8.json,bzip2_arm64_windows_msvc.exe_2fc063be.json,bzip2_arm64_windows_rs-pure.exe_70f3ba79.json,bzip2_arm64_windows_rs-sys.exe_223cea53.json
bzip2_amd64_darwin_clang_28dc2ee7.json,1.00,1.00,0.02,0.01,0.01,0.08,0.76,0.53,0.01,0.01,0.01,0.06,0.02,0.33,0.01,0.28,0.01,0.01,0.79,0.75,0.01,0.01,0.01,0.07,0.64,0.45,0.01,0.01,0.01,0.06,0.02,0.02,0.06,0.01,0.01
bzip2_amd64_darwin_gcc_885ac7de.json,,1.00,0.02,0.01,0.01,0.08,0.76,0.53,0.01,0.01,0.01,0.06,0.02,0.33,0.01,0.28,0.01,0.01,0.79,0.75,0.01,0.01,0.01,0.07,0.64,0.45,0.01,0.01,0.01,0.06,0.02,0.02,0.06,0.01,0.01
bzip2_amd64_darwin_go_cd368ba0.json,,,1.00,0.37,0.37,0.10,0.02,0.02,0.76,0.35,0.35,0.13,0.45,0.03,0.69,0.03,0.24,0.25,0.02,0.01,0.56,0.37,0.37,0.11,0.02,0.02,0.63,0.37,0.37,0.15,0.46,0.47,0.17,0.27,0.27
bzip2_amd64_darwin_rs-pure_672b9aab.json,,,,1.00,0.98,0.07,0.01,0.01,0.39,0.69,0.68,0.09,0.36,0.02,0.35,0.02,0.49,0.49,0.01,0.01,0.31,0.79,0.78,0.08,0.01,0.02,0.37,0.77,0.76,0.11,0.41,0.26,0.12,0.47,0.47
bzip2_amd64_darwin_rs-sys_089b3292.json,,,,,1.00,0.07,0.01,0.01,0.40,0.68,0.68,0.09,0.36,0.02,0.35,0.03,0.48,0.49,0.01,0.01,0.31,0.79,0.79,0.08,0.01,0.02,0.37,0.77,0.77,0.11,0.42,0.26,0.12,0.46,0.47
bzip2_amd64_darwin_tgo_e9ce53c1.json,,,,,,1.00,0.08,0.09,0.10,0.07,0.07,0.59,0.11,0.14,0.09,0.17,0.05,0.05,0.08,0.07,0.09,0.07,0.08,0.72,0.09,0.10,0.09,0.07,0.07,0.47,0.10,0.13,0.32,0.05,0.05
bzip2_amd64_linux_clang_2430eb37.json,,,,,,,1.00,0.63,0.02,0.01,0.01,0.07,0.02,0.40,0.02,0.29,0.01,0.01,0.68,0.65,0.02,0.01,0.01,0.08,0.74,0.53,0.02,0.01,0.01,0.06,0.02,0.02,0.06,0.01,0.01
bzip2_amd64_linux_gcc_4399a2b9.json,,,,,,,,1.00,0.02,0.01,0.01,0.07,0.02,0.48,0.02,0.31,0.01,0.01,0.54,0.51,0.02,0.01,0.01,0.09,0.62,0.71,0.02,0.01,0.01,0.07,0.02,0.02,0.06,0.01,0.01
bzip2_amd64_linux_go_62958439.json,,,,,,,,,1.00,0.37,0.38,0.12,0.44,0.03,0.65,0.03,0.27,0.27,0.02,0.01,0.51,0.40,0.41,0.11,0.02,0.02,0.73,0.40,0.40,0.14,0.48,0.49,0.16,0.30,0.30
bzip2_amd64_linux_rs-pure_227bfcee.json,,,,,,,,,,1.00,0.98,0.09,0.32,0.02,0.37,0.02,0.38,0.38,0.01,0.01,0.32,0.60,0.59,0.08,0.01,0.01,0.37,0.59,0.59,0.10,0.37,0.26,0.12,0.36,0.37
