,bzip2_amd64_darwin_clang_bb422561.json,bzip2_amd64_darwin_gcc_61bd47af.json,bzip2_amd64_darwin_go_e1d42f63.json,bzip2_amd64_darwin_rs-pure_b656f970.json,bzip2_amd64_darwin_rs-sys_26d20788.json,bzip2_amd64_darwin_tgo_6170c260.json,bzip2_amd64_linux_clang_ad366643.json,bzip2_amd64_linux_gcc_ccc4cf10.json,bzip2_amd64_linux_go_cf343d1a.json,bzip2_amd64_linux_rs-pure_f4511389.json,bzip2_amd64_linux_rs-sys_9751c6e7.json,bzip2_amd64_linux_tgo_cc1b5a2d.json,bzip2_amd64_windows_clang.exe_fb68290e.json,bzip2_amd64_windows_gcc.exe_2a5000a8.json,bzip2_amd64_windows_go.exe_8d915129.json,bzip2_amd64_windows_msvc.exe_4eddc4d6.json,bzip2_amd64_windows_rs-pure.exe_5b22b00c.json,bzip2_amd64_windows_rs-sys.exe_3e3736a4.json,bzip2_arm64_darwin_clang_34392dac.json,bzip2_arm64_darwin_gcc_3894c17c.json,bzip2_arm64_darwin_go_293ce2f9.json,bzip2_arm64_darwin_rs-pure_9d252a8f.json,bzip2_arm64_darwin_rs-sys_b370b5cd.json,bzip2_arm64_darwin_tgo_f357c0bc.json,bzip2_arm64_linux_clang_375294fc.json,bzip2_arm64_linux_gcc_a5af3ca9.json,bzip2_arm64_linux_go_3b3448f2.json,bzip2_arm64_linux_rs-pure_927550bd.json,bzip2_arm64_linux_rs-sys_e5a5c625.json,bzip2_arm64_linux_tgo_d72531be.json,bzip2_arm64_windows_clang.exe_797eefb0.json,bzip2_arm64_windows_gcc.exe_4b1549dd.json,bzip2_arm64_windows_go.exe_ed2de88c.json,bzip2_arm64_windows_msvc.exe_22595510.json,bzip2_arm64_windows_rs-pure.exe_1f25dd7f.json,bzip2_arm64_windows_rs-sys.exe_d6a1dc5d.json
bzip2_arm64_darwin_clang_34392dac.json,,,,,,,,,,,,,,,,,,,1.00,0.93,0.03,0.02,0.02,0.06,0.91,0.77,0.03,0.02,0.02,0.05,0.02,0.60,0.04,0.49,0.00,0.00
bzip2_arm64_darwin_gcc_3894c17c.json,,,,,,,,,,,,,,,,,,,,1.00,0.03,0.02,0.02,0.07,0.99,0.83,0.03,0.02,0.02,0.06,0.03,0.64,0.04,0.53,0.00,0.00
bzip2_arm64_darwin_go_293ce2f9.json,,,,,,,,,,,,,,,,,,,,,1.00,0.75,0.76,0.39,0.03,0.03,1.00,0.74,0.76,0.48,0.97,0.04,0.69,0.05,0.13,0.13
bzip2_arm64_darwin_rs-pure_9d252a8f.json,,,,,,,,,,,,,,,,,,,,,,1.00,0.99,0.30,0.02,0.02,0.75,0.99,1.00,0.36,0.78,0.03,0.52,0.04,0.17,0.17
bzip2_arm64_darwin_rs-sys_b370b5cd.json,,,,,,,,,,,,,,,,,,,,,,,1.00,0.30,0.02,0.03,0.76,0.97,0.99,0.37,0.79,0.03,0.53,0.04,0.17,0.17
bzip2_arm64_darwin_tgo_f357c0bc.json,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.07,0.08,0.39,0.29,0.30,0.82,0.38,0.11,0.57,0.13,0.05,0.05
bzip2_arm64_linux_clang_375294fc.json,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.84,0.03,0.02,0.02,0.06,0.03,0.65,0.04,0.54,0.00,0.00
bzip2_arm64_linux_gcc_a5af3ca9.json,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.03,0.02,0.02,0.07,0.03,0.78,0.05,0.64,0.00,0.00
bzip2_arm64_linux_go_3b3448f2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.74,0.75,0.48,0.97,0.04,0.69,0.05,0.13,0.13
bzip2_arm64_linux_rs-pure_927550bd.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.98,0.36,0.77,0.03,0.51,0.04,0.17,0.17
bzip2_arm64_linux_rs-sys_e5a5c625.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.36,0.78,0.03,0.52,0.04,0.17,0.17
bzip2_arm64_linux_tgo_d72531be.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.47,0.09,0.70,0.11,0.06,0.06
bzip2_arm64_windows_clang.exe_797eefb0.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.04,0.67,0.05,0.13,0.13
bzip2_arm64_windows_gcc.exe_4b1549dd.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.06,0.82,0.01,0.01
bzip2_arm64_windows_go.exe_ed2de88c.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.07,0.09,0.09
bzip2_arm64_windows_msvc.exe_22595510.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.01,0.01
bzip2_arm64_windows_rs-pure.exe_1f25dd7f.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.98
bzip2_arm64_windows_rs-sys.exe_d6a1dc5d.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00

total duration,"3513m 40.90s (210,820,902,470,253 nsec)"
